Symbol,Quantity,AvgPrice
1258,193000,15.62
2899,68000,44.99
388,7200,417.4
700,100,541.0
APP,420,383.54
ARGT,1700,92.86
AVUV,2200,112.74
BABA,1000,153.1
BWXT,800,200.0
CNXC,-8300,30.22
DE,180,647.12
DFNS,-493,69.97
ETHA,4900,13.96
EWZ,3900,38.87
FCG,4800,27.2
FOUR,9300,58.42
IBIT,4500,36.71
KLAC,420,1487.47
MANH,-2000,130.33
MSFT,580,387.74
NVO,6300,39.79
ON,8700,69.44
ORCL,1280,139.51
RXO,-10500,14.48
SCHD,4800,31.48
U,9000,17.43
URA,1900,53.39
UUP,-5600,27.06
WDAY,-2000,127.45
XLI,5900,175.06
