Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,44.95,45.2,4203.87,0,0,0,4203.87,,,,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,484.8,484.6,-280.258,0,0,0,-280.258,,,,
Mark-to-Market Performance Summary,Data,Stocks,A17U,403700,492500,2.74,2.8,18804.99192,40.37072,-202.9333366,0,18642.4293,,,,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,329,329,202.38,203.35,319.13,0,0,0,319.13,,,,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,171.7,176.78,37134.8,0,0,0,37134.8,,,,
Mark-to-Market Performance Summary,Data,Stocks,APP,27,27,379.17,395.01,427.68,0,0,0,427.68,,,,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1472,1472,260.07,267.95,11599.36,0,0,0,11599.36,,,,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,5791,5791,68.54,69.32,4516.98,0,0,0,4516.98,,,,
Mark-to-Market Performance Summary,Data,Stocks,BABA,5986,5986,117.07,117.5,2573.98,0,0,0,2573.98,,,,
Mark-to-Market Performance Summary,Data,Stocks,BN4,178800,194400,8.31,8.35,5552.52672,1090.00944,-123.6477642,0,6518.888396,,,,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,2564,2564,149.5,154.51,12845.64,0,0,0,12845.64,,,,
Mark-to-Market Performance Summary,Data,Stocks,C6L,14100,28200,6.82,6.82,0,-206.51176,-84.09966903,0,-290.611429,,,,
Mark-to-Market Performance Summary,Data,Stocks,CEG,2595,2595,340.77,354.89,36641.4,0,0,0,36641.4,,,,
Mark-to-Market Performance Summary,Data,Stocks,CME,2904,2904,280.76,287.1,18411.36,0,0,0,18411.36,,,,
Mark-to-Market Performance Summary,Data,Stocks,COIN,239,239,314.69,318.17,831.72,0,0,0,831.72,,,,
Mark-to-Market Performance Summary,Data,Stocks,CRCL,825,825,168.1,164.82,-2706,0,0,0,-2706,,,,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,855,855,446.66,454.86,7011,0,0,0,7011,,,,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,11471,11471,67.11,68.49,15829.98,0,0,0,15829.98,,,,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,3481,3481,221.5,225.09,12496.79,0,0,0,12496.79,,,,
Mark-to-Market Performance Summary,Data,Stocks,CVX,4083,4083,151.4,151.04,-1469.88,0,0,0,-1469.88,,,,
Mark-to-Market Performance Summary,Data,Stocks,D05,104300,104300,47.6,47.89,23482.56092,0,0,0,23482.56092,,,,
Mark-to-Market Performance Summary,Data,Stocks,DAX,4753,4753,43.16,43.79,2994.39,0,0,0,2994.39,,,,
Mark-to-Market Performance Summary,Data,Stocks,DDOG,57,57,135.6,139.13,201.21,0,0,0,201.21,,,,
Mark-to-Market Performance Summary,Data,Stocks,DFDV,839,839,14.05,15.34,1082.31,0,0,0,1082.31,,,,
Mark-to-Market Performance Summary,Data,Stocks,DG,8741,10841,108.53,110.94,21065.81,3124.8,-2.510787,0,24188.09921,,,,
Mark-to-Market Performance Summary,Data,Stocks,EBND,113430,113430,21.03,21.08,5671.5,0,0,0,5671.5,,,,
Mark-to-Market Performance Summary,Data,Stocks,EFA,6645,6645,87.29,88.45,7708.2,0,0,0,7708.2,,,,
Mark-to-Market Performance Summary,Data,Stocks,EMR,6219,6219,141.78,142.62,5223.96,0,0,0,5223.96,,,,
Mark-to-Market Performance Summary,Data,Stocks,ETN,1124,1124,381.29,384.76,3900.28,0,0,0,3900.28,,,,
Mark-to-Market Performance Summary,Data,Stocks,EWW,11570,11570,59.6,59.23,-4280.9,0,0,0,-4280.9,,,,
Mark-to-Market Performance Summary,Data,Stocks,EWZ,29190,29190,26.65,26.93,8173.2,0,0,0,8173.2,,,,
Mark-to-Market Performance Summary,Data,Stocks,GE,1519,1519,269.38,276.23,10405.15,0,0,0,10405.15,,,,
Mark-to-Market Performance Summary,Data,Stocks,GEV,1417,1417,656.5,662.77,8884.59,0,0,0,8884.59,,,,
Mark-to-Market Performance Summary,Data,Stocks,GS,1140,1140,709.57,726.03,18764.4,0,0,0,18764.4,,,,
Mark-to-Market Performance Summary,Data,Stocks,HD,2152,2152,373.66,380.82,15408.32,0,0,0,15408.32,,,,
Mark-to-Market Performance Summary,Data,Stocks,HO,1231,1231,235.5,236.5,1424.5132,0,0,0,1424.5132,,,,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,107497,155097,33.48,33.66,19349.46,-202.5,-112.257872,0,19034.70213,,,,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,12778,12778,64.22,65.2,12522.44,0,0,0,12522.44,,,,
Mark-to-Market Performance Summary,Data,Stocks,IBM,2066,2066,250.05,251.98,3987.38,0,0,0,3987.38,,,,
Mark-to-Market Performance Summary,Data,Stocks,ICE,2829,2829,184.6,188.45,10891.65,0,0,0,10891.65,,,,
