Symbol,Quantity,AvgPrice
ACGL,546,80.52
ALIU3,17,2237.87
BKNG,241,2921.95
BSX,-12225,52.65
CCU3,11,3355.55
CHD,612,98.56
DCQ3,-5,15.1
EWW,6494,63.4
EWZ,-148188,31.89
FDX,2678,255.45
FPE,29286,16.09
GE,427,111.7
GFQ3,3,2.47
HCA,166,292.18
HGU3,23,3.84
HYD,9874,51.49
HYG,5790,75.15
IAU,3875,37.0
IGIB,5384,50.51
IGSB,9977,50.21
KCU3,-3,1.57
KSA,121903,42.55
LEQ3,-25,1.8
LEV3,30,1.83
LLY,-1398,447.33
LVS,-11204,59.27
PANW,305,246.58
PAU3,-1,1291.5
PH,1741,397.77
PLV3,20,985.1
PWR,3518,197.89
QQQ,9083,380.68
SBV3,-29,0.24
SGEN,209,197.96
SIU3,1,25.04
STIP,5342,97.31
TDG,64,889.73
TN   SEP 23,2,118.39
WST,95,383.9
ZBH,-4494,141.28
ZC   DEC 23,-6,5.09
ZF   SEP 23,5,107.56
ZM   DEC 23,-46,405.63
ZS   NOV 23,-27,13.76
