Action,Quantity,Symbol,SecType,Exchange,Currency,TimeInForce,OrderType,Account,Algo allowPastEndTime,Algo startTime,Algo endTime,Algo strategy,LastTradingDayOrContractMonth,Multiplier
SELL,1994,SMH,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,9:45:05 EST,15:59:05 EST,Vwap,,
,,,,,,,,,,,,,,
BUY,17630,921,STK,SMART/AMEX,CNH,DAY,MKT,U8251256,FALSE,9:45:05 EST,15:59:05 EST,Vwap,,
BUY,1500,9988,STK,SMART/AMEX,HKD,DAY,MKT,U8251256,FALSE,9:45:05 EST,15:59:05 EST,Vwap,,
BUY,500,9888,STK,SMART/AMEX,HKD,DAY,MKT,U8251256,FALSE,9:45:05 EST,15:59:05 EST,Vwap,,
BUY,72775,2899,STK,SMART/AMEX,HKD,DAY,MKT,U8251256,FALSE,9:45:05 EST,15:59:05 EST,Vwap,,
BUY,535,URNM,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,9:45:05 EST,15:59:05 EST,Vwap,,
