"BOF","U8251256","Portfolio Dashboard","6","2023-11-14","2023-11-14","2025-10-06;04:33:09","100","100"
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"21891226.708064012","0","0","0","22123896.325140253"
"EOS","CNAV","1","22123896.325140253"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
QQQ,,,,2023-11-14,-2000,378.41,-6.5475,8409.476888,8409.476888,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.4105,-16.747508,7901.011752,7901.011752,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.42,-16.74766,8117.545946,8117.545946,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.45,-11.74814,7094.055764,7094.055764,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.42,-16.74766,7945.188957,7945.188957,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.43,-8.07782,7532.806992,7532.806992,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.45,-6.54814,10947.789854,10947.789854,0.0,SELL,STK
QQQ,,,,2023-11-14,-2500,378.45,-8.185175,27256.972027,27256.972027,0.0,SELL,STK
QQQ,,,,2023-11-14,-2500,378.47,-20.935575,27471.584517,27471.584517,0.0,SELL,STK
QQQ,,,,2023-11-14,-2500,378.48,-8.185775,23595.027942,23595.027942,0.0,SELL,STK
QQQ,,,,2023-11-14,-252,378.35,-1.07986404,2147.512953,2147.512953,0.0,SELL,STK
QQQ,,,,2023-11-14,-2248,378.3,-7.35741176,19277.567655,19277.567655,0.0,SELL,STK
QQQ,,,,2023-11-14,-2500,378.34,-17.949475,22169.877985,22169.877985,0.0,SELL,STK
QQQ,,,,2023-11-14,-2500,378.35,-8.183175,51704.373977,51704.373977,0.0,SELL,STK
QQQ,,,,2023-11-14,-2500,378.35,-8.183175,57656.682187,57656.682187,0.0,SELL,STK
