Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
MCK,STK,395.8,504,530,26,5.159,0.333,209729.32
NOC,STK,534.77,382,382,0,2.618,0.333,209729.32
MRK,STK,100.07,2019,2096,77,3.814,0.333,209729.32
K,STK,71.29,2861,2861,0,2.831,0.333,209727.24
GIS,STK,79.69,2528,2632,104,4.114,0.333,209727.24
LLY,STK,365.07,559,559,0,2.683,0.333,209727.24
HSY,STK,229.3,873,915,42,4.811,0.333,209727.24
BMY,STK,79.19,2537,2648,111,4.375,0.333,209727.24
AMGN,STK,280.1,743,743,0,0.808,0.333,209727.24
HUM,STK,554.93,362,378,16,4.42,0.333,209727.24
AZO,STK,2505.01,81,84,3,3.704,0.333,209727.24
CEG,STK,93.5,2119,2243,124,5.852,0.333,209727.24
CAH,STK,80.98,2514,2590,76,3.023,0.333,209727.24
ROL,STK,41.75,4770,5023,253,5.304,0.333,209727.24
ORLY,STK,830.2,245,253,8,3.265,0.333,209727.24
QQQ,STK,268.14,54433,56316,1883,3.459,24,15100512.53
XLE,STK,92.4,16400,17023,623,3.799,2.5,1572970.06
IXC,STK,41.53,36523,37876,1353,3.705,2.5,1572970.06
ZT,FUT,203453,3,3,0,0,1,629188.02
CGZ,FUT,76221,8,8,0,0,1,629188.02
CGF,FUT,81714.29,7,8,1,14.286,1,629188.02
GBS,FUT,106446,6,6,0,0,1,629188.02
BTS,FUT,105776.17,6,6,0,0,1,629188.02
IAU,STK,31.73,18811,19829,1018,5.412,1,629188.02
ZM,FUT,41950,14,14,0,0,0.952,599226.72
GOIL,FUT,103375,5,6,1,20,0.952,599226.72
ZC,FUT,33787.53,17,18,1,5.882,0.952,599226.72
RB,FUT,110531.4,5,5,0,0,0.952,599226.72
HO,FUT,157462.25,4,4,0,0,0.952,599226.72
ZS,FUT,72287.5,8,8,0,0,0.952,599226.72
ZL,FUT,45564,12,13,1,8.333,0.952,599226.72
KC,FUT,61856.25,-4,-5,-1,25,-0.476,299613.36
SCI,FUT,8785,-33,-34,-1,3.03,-0.476,299613.36
TSR20,FUT,6418.87,-45,-47,-2,4.444,-0.476,299613.36
PA,FUT,187000,-2,-2,0,0,-0.476,299613.36
ZW,FUT,42187.43,-7,-7,0,0,-0.476,299613.36
PB,FUT,50475.17,-6,-6,0,0,-0.476,299613.36
ZSLME,FUT,72218.75,-4,-4,0,0,-0.476,299613.36
,,,,,,,,
,,,,,,,0.986,31459376.17
