Symbol,Quantity,AvgPrice
1698,19800,96.26
NOC,100,578.2
PLTR 17DEC27 165 P,-38,52.31
PLTR 17DEC27 210 P,-76,82.64
PLTR 17DEC27 60 C,38,102.47
SPMO,3410,116.52
TQQQ,5000,91.01
XSMO,6900,73.14
