Symbol,Quantity,AvgPrice
1258,-993000,10.62
388,5500,432.81
AGQ,40,59.32
AVEM,200,71.0
NOC,360,577.97
S68,26300,16.34
U96,145600,6.1
UTES,2050,78.6
