Symbol,Quantity,AvgPrice
1698,15200,95.6
8346.T,18800,416.39
A17U,1800,2.79
IDMO,10000,53.21
O,1100,58.92
SPMO,300,117.61
TQQQ,600,92.81
U96,50000,6.08
XSMO,5500,72.79
