Symbol,Quantity,AvgPrice
AMGN,81,273.6
AZO,12,2486.1
BMY,327,79.34
CAH,220,80.56
CEG,280,94.42
CGFZ22,1,110.59
CGZZ22,1,102.95
CI,-533,325.07
COILF3,-5,98.64
CTZ2,6,0.87
GIS,299,79.25
HOZ2,1,3.87
HSY,145,229.79
HUM,56,553.38
IAU,2146,31.85
IXC,4190,41.54
K,347,70.69
KE   DEC 22,5,9.65
LLY,77,363.99
MCK,65,396.98
MOH,-489,329.91
MRK,238,99.34
NOC,59,530.21
ORLY,245,821.9
PAZ2,-1,1881.0
RBZ2,1,2.73
ROL,4770,41.76
XLE,1855,92.82
ZC   DEC 22,2,6.79
ZL   DEC 22,12,0.77
ZM   DEC 22,2,416.5
ZS   JAN 23,1,14.54
ZW   DEC 22,-1,8.57
