Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
MCK,STK,364.02,1432,1432,0,-2.514,0.333,508213.7
ED,STK,98.76,5106,5106,0,0.783,0.333,508213.7
SRE,STK,168.3,3024,3024,0,-0.132,0.333,508213.7
BMY,STK,72.77,6889,6889,0,1.379,0.333,508213.7
LMT,STK,433.12,1196,1196,0,-1.923,0.333,508213.7
NOC,STK,482.88,1052,1052,0,0,0.333,508213.7
HSY,STK,232.56,2292,2185,-107,-4.668,0.333,508213.7
MRK,STK,90.2,5637,5637,0,-0.053,0.333,508213.7
HUM,STK,493.19,1031,1031,0,-0.097,0.333,508208.66
K,STK,76.19,6945,6670,-275,-3.96,0.333,508208.66
ADM,STK,88.05,6081,5772,-309,-5.081,0.333,508208.66
CTVA,STK,61.77,8501,8227,-274,-3.223,0.333,508208.66
SO,STK,78.79,6459,6459,0,-0.139,0.333,508208.66
AEP,STK,102.7,5041,5041,0,-1.845,0.333,508208.66
CNC,STK,95.11,5332,5332,0,0.206,0.333,508208.66
QQQ,STK,313.7,148713,148713,0,-1.955,30,45739237.17
XLE,STK,82.38,48284,46269,-2015,-4.173,2.5,3811603.1
XLU,STK,76.1,49614,49614,0,0.953,2.5,3811603.1
SHYD,STK,22.81,57820,55701,-2119,-3.665,0.833,1270534.31
FMB,STK,51.02,25681,24903,-778,-3.029,0.833,1270534.31
FPE,STK,17.69,72916,72916,0,-1.5,0.833,1270534.31
HYG,STK,76.27,17094,17094,0,-2.551,0.833,1270534.31
ZB,FUT,136882.78,9,9,0,0,0.833,1270534.31
CGB,FUT,96380.85,13,13,0,0,0.833,1270534.31
GBL,FUT,149334.67,9,9,0,0,0.833,1270534.31
GBX,FUT,168085.75,8,8,0,0,0.833,1270534.31
OAT,FUT,138917.33,9,9,0,0,0.833,1270534.31
BTP,FUT,120682.09,11,11,0,0,0.833,1270534.31
IGLB,STK,53.63,24368,24368,0,-2.778,0.833,1270534.31
IGIB,STK,51.52,25384,25384,0,-2.848,0.833,1270534.31
IAU,STK,33.14,46948,46948,0,-2.006,1,1524641.24
NG,FUT,,0,,,,0,0
PA,FUT,200300,4,4,0,0,0.556,847022.98
HE,FUT,37300,23,23,0,0,0.556,847022.98
LE,FUT,57850,15,15,0,0,0.556,847022.98
ZM,FUT,43150,20,20,0,0,0.556,847022.98
GF,FUT,92258.56,9,9,0,0,0.556,847022.98
PB,FUT,48739,17,17,0,0,0.556,847022.98
ZSLME,FUT,88609.9,10,10,0,0,0.556,847022.98
ZL,FUT,40194,22,21,-1,-4.545,0.556,847022.98
,,,,,,,,
,,,,,,,2.204,84532850.39
