Symbol,Quantity,AvgPrice
AAPL,2839,189.26
ASML,792,682.47
BIL,-184718,91.67
BRK B,1492,359.94
CEG,4440,122.73
CMCSA,4091,42.49
CME,812,213.01
CMG,42,2171.31
COIN,6900,96.96
COR,781,196.71
CWB,2692,67.27
DAL,15018,35.78
DLR,832,134.96
FTNT,4141,50.89
GE,4511,119.62
GOOGL,3945,134.48
HD,1754,306.36
HUM,2633,504.6
INTC,12461,42.96
IWM,3031,177.98
JBL,4131,131.38
JPST,-61028,50.19
KNSL,1531,352.35
KO,7385,56.92
LLY,914,591.39
LQD,12974,104.25
MCD,1100,276.27
MCK,375,450.8
MSFT,1436,371.12
QQQ,35007,385.21
SGEN,829,212.82
SMH,3335,161.7
SPXL,6002,88.94
TLT,10967,89.85
TMF,199284,4.91
UPRO,11409,46.8
VCIT,2210,77.35
XBTF,19454,34.91
