Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
MAA,STK,209.91,2888,2888,0,2.112,0.298,619064.49
PSA,STK,362.7,1721,1721,0,-0.813,0.298,619064.49
PG,STK,157,4007,4007,0,-1.597,0.298,619064.49
EXC,STK,42.6,14345,14345,0,1.304,0.298,619064.49
PEP,STK,168.38,3702,0,-3702,-100,0,0
SBNY,STK,349.99,929,1769,840,90.42,0.298,619064.49
MCK,STK,274.91,2270,2270,0,-0.793,0.298,619064.49
FITB,STK,46.9,13228,13228,0,-0.212,0.298,619064.49
HSY,STK,204.32,1538,1538,0,-1.495,0.149,309532.24
CVS,STK,104.3,6013,6013,0,-1.297,0.298,619064.49
ABBV,STK,146.75,4061,4218,157,3.866,0.298,619064.49
CB,STK,207.02,3041,3041,0,-1.677,0.298,619064.49
ADM,STK,78.5,7889,7889,0,-0.038,0.298,619064.49
KEY,STK,24.5,24885,12634,-12251,-49.23,0.149,309532.24
BK,STK,53.83,5691,0,-5691,-100,0,0
MTB,STK,183.03,1747,3382,1635,93.589,0.298,619064.49
EXPE,STK,199.93,3098,3098,0,-0.065,0.298,619064.49
AIG,STK,63.16,0,9802,9802,Inf,0.298,619064.49
QQQ,STK,340.99,147522,147522,0,1.348,24.5,50981781.33
XLE,STK,68.88,53552,53552,0,-1.277,1.75,3641555.81
EXXX,STK,40.36,19128,20096,968,5.061,0.39,811073.74
EWU,STK,33.49,47803,47803,0,1.326,0.78,1622147.68
2823,STK,2.23,714500,714500,0,1.808,0.78,1622147.68
2800,STK,2.92,539500,539500,0,2.971,0.78,1622147.68
KSA,STK,45.59,35247,35247,0,0.948,0.78,1622147.68
FM,STK,33.94,46816,46816,0,2.091,0.78,1622147.68
STIP,STK,105.19,57918,57918,0,2.467,3,6242667.1
LTPZ,STK,81.83,18708,18708,0,1.946,0.75,1560666.78
ZN,FUT,126843.75,24,25,1,4.167,1.5,3121333.55
ZB,FUT,155218.75,20,20,0,0,1.5,3121333.55
ZT,FUT,214867.18,28,29,1,3.571,3,6242667.1
Z3N,FUT,222859.37,27,28,1,3.704,3,6242667.1
CYBA,STK,5.88,1038090,1038090,0,2.272,3,6242667.1
CNYB,STK,5.69,716428,716428,0,2.093,2,4161778.07
GBX,FUT,219472.71,7,7,0,0,0.75,1560666.78
IAU,STK,36.26,112164,112164,0,2.329,2,4161778.07
RB,FUT,124689.62,16,18,2,12.5,1.053,2190409.55
AH,FUT,85828.26,23,26,3,13.043,1.053,2190409.55
HO,FUT,122623.19,16,18,2,12.5,1.053,2190409.55
COIL,FUT,98570,20,22,2,10,1.053,2190409.55
GOIL,FUT,85800,0,26,26,Inf,1.053,2190409.55
KC,FUT,88050,21,25,4,19.048,1.053,2190409.55
ZO,FUT,31700,61,35,-26,-42.623,0.526,1095204.78
SB,FUT,19779.2,-49,-55,-6,12.245,-0.526,1095204.78
ZSLME,FUT,91622.09,-11,-12,-1,9.091,-0.526,1095204.78
SCI,FUT,14338.18,-71,-76,-5,7.042,-0.526,1095204.78
PA,FUT,246750,0,-4,-4,#NAME?,-0.526,1095204.78
CT,FUT,58610,0,-19,-19,#NAME?,-0.526,1095204.78
LE,FUT,56770,0,-19,-19,#NAME?,-0.526,1095204.78
ZL,FUT,43050,46,0,-46,-100,0,0
PB,FUT,59762.75,-16,0,16,-100,0,0
TSR20,FUT,,0,,,,0,0
HG,FUT,112812.44,-9,0,9,-100,0,0
SI,FUT,122225,-8,0,8,-100,0,0
,,,,,,,,
,,,,,,,2.713,136298232.6
