Action,Quantity,Symbol,SecType,LastTradingDayOrContractMonth,DivPrt,Exchange,Currency,TimeInForce,OrderType,BasketTag,Account,OrderRef,Multiplier
BUY,1,Z3N,FUT,20210630,FALSE,ECBOT,USD,DAY,LMT,Basket,U8251256,Basket,2000
BUY,1,3KTB,FUT,20210615,FALSE,KSE,KRW,DAY,LMT,Basket,U8251256,Basket,1000000
BUY,1,HO,FUT,20210528,FALSE,NYMEX,USD,DAY,LMT,Basket,U8251256,Basket,42000
BUY,1,HE,FUT,20210415,FALSE,GLOBEX,USD,DAY,LMT,Basket,U8251256,Basket,40000
