Symbol,Quantity,AvgPrice
ABC,195,159.42
AZO,9,2451.27
CAH,538,77.12
CB,227,206.41
CEG,354,85.86
CI,55,304.01
FMB,7275,51.58
FPE,18923,18.25
GFH3,-1,1.86
GILD,255,81.15
GOILH3,1,840.5
HEJ3,-1,0.85
HYD,7977,52.79
HYG,4577,77.25
IAU,1481,36.47
IGIB,6625,52.09
IXC,2621,38.92
LTPZ,3716,62.54
LVS,354,57.51
MCD,124,263.6
MCK,87,363.89
MRK,165,103.85
NGH3,-3,2.54
ORLY,29,804.95
QQQ,5528,309.92
REGN,20,749.08
SBH3,1,0.22
TN   MAR 23,4,122.79
TRV,169,179.06
UB   MAR 23,2,145.45
XLE,1242,86.75
ZB   MAR 23,2,132.17
ZL   MAR 23,-1,0.61
ZW   MAR 23,-1,7.55
