Symbol,Quantity,AvgPrice
ABC,-313,155.95
AZO,-166,2421.33
CAH,-804,77.3
CB,-251,212.35
CEG,-520,83.39
CI,-1375,289.31
CTVA,5742,60.63
FMB,-17341,51.33
FPE,-48461,18.03
GFH3,6,1.86
GILD,-620,86.29
HEJ3,2,0.84
HYD,-16861,52.33
HYG,-10700,75.92
IAU,-5047,35.43
IGIB,-16438,51.18
IXC,-4072,38.24
LTPZ,-12874,60.7
LVS,-1221,57.5
MCD,-1546,265.76
MCK,-143,361.03
MO,7528,46.94
MRK,-590,103.98
NGH3,2,2.4
ORLY,-61,803.23
PAH3,1,1580.0
PLJ3,-10,978.92
QQQ,-14444,304.34
REGN,-82,791.7
SBH3,-1,0.21
SCHW,4469,80.07
SIH3,-4,22.31
TN   MAR 23,-57,120.27
TRV,-305,184.08
UB   MAR 23,-5,141.84
ULTA,-127,519.11
XLE,-1812,85.28
ZB   MAR 23,-6,129.11
ZC   MAR 23,-2,6.76
ZL   MAR 23,2,0.59
ZM   MAR 23,-1,490.0
ZS   MAR 23,-1,15.22
ZW   MAR 23,15,7.54
