Symbol,Quantity,AvgPrice
AFL,386,69.33
ALIJ3,-1,2383.25
CAH,357,78.18
CB,131,211.33
CCK3,-4,2734.5
CEG,319,86.22
CTVA,445,62.62
FMB,5553,50.77
GILD,376,83.8
GOILH3,1,820.25
HGH3,-1,4.11
HOJ3,1,2.8
HYD,5935,51.49
HYG,3735,74.42
IAU,2294,34.81
IGIB,5635,50.26
IGLB,5939,51.01
IGSB,5516,50.08
IXC,6058,40.04
LMT,64,472.98
LVS,614,56.8
MO,524,47.28
MRK,291,106.99
ORLY,32,855.67
PAH3,-1,1480.0
PLJ3,-2,920.75
QQQ,6222,306.88
REGN,38,742.13
SBK3,1,0.2
SCHW,357,80.56
STIP,2756,97.56
TIP,2537,107.54
TRV,132,183.87
ULTA,49,526.72
XLE,2776,88.29
ZC   MAY 23,2,6.74
ZM   MAY 23,1,473.8
ZS   MAY 23,1,15.2
