Symbol,Quantity,AvgPrice
ACGL,476,73.81
AZN,396,74.37
AZO,13,2675.93
CCN3,1,2902.0
CGBM23,4,127.16
DCK3,-2,16.76
EWW,4525,60.72
GILD,568,79.14
HGK3,-1,3.83
HSY,138,273.6
HYG,5745,74.24
IAU,1732,38.85
IGIB,6925,51.37
IGLB,6377,51.83
IGSB,7649,50.7
LEM3,1,1.62
LLY,73,428.35
LTPZ,4620,61.2
LVS,664,61.54
MDLZ,408,77.05
MRK,229,117.29
ORLY,36,930.73
PCAR,446,70.57
PCG,1924,17.19
PLN3,1,1043.9
QQQ,11312,316.32
RING,4211,27.99
SBN3,1,0.25
SGEN,167,198.34
STIP,3940,99.08
TN   JUN 23,3,122.56
UB   JUN 23,3,141.29
ULTA,81,517.27
YUM,338,136.59
ZB   JUN 23,3,132.33
ZC   JUL 23,-2,5.83
ZF   JUN 23,3,110.94
ZM   JUL 23,-1,419.3
ZN   JUN 23,3,116.54
ZW   JUL 23,-2,6.38
