Symbol,Quantity,AvgPrice
ACGL,-632,75.26
AZN,-579,73.44
AZO,-17,2673.32
CCN3,-2,2899.5
CGBM23,-6,126.25
DCK3,3,16.62
EWW,-5424,60.46
GILD,-495,80.9
HGK3,2,3.86
HSY,-176,274.03
HYG,-6596,74.48
IAU,-3433,38.06
IGIB,-8915,51.13
IGLB,-7418,51.69
IGSB,-9596,50.53
LEM3,-1,1.63
LLY,-136,406.14
LTPZ,-6656,60.59
LVS,-738,63.54
MDLZ,-591,76.87
MRK,-397,116.92
ORLY,-53,923.49
PCAR,-578,73.06
PCG,-2699,17.19
PLN3,-1,1071.9
QQQ,-11777,319.16
RING,-11496,26.39
SBN3,-2,0.26
SGEN,-203,200.0
STIP,-5133,98.63
TN   JUN 23,-4,121.25
UB   JUN 23,-4,140.16
ULTA,-49,524.53
YUM,-315,141.68
ZB   JUN 23,-4,131.05
ZC   JUL 23,5,5.86
ZF   JUN 23,-5,109.9
ZM   JUL 23,2,431.65
ZN   JUN 23,-4,115.27
ZO   JUL 23,7,3.05
ZW   JUL 23,3,6.18
