Symbol,Quantity,AvgPrice
883,90000,14.47
AAPL,-1200,186.27
BRZU,-1100,92.78
CAH,-14398,109.25
CMCSA,-9528,46.7
DAL,-5067,39.42
DBA,-30300,21.6
DHI,-2028,144.24
DXJ,8350,95.92
EWY,13742,59.74
GOOGL,-2958,141.93
HD,-994,357.48
HUM,300,377.97
JBL,-1200,126.67
KNSL,-1531,400.68
KO,-11600,60.29
LLY,-914,649.95
MCD,-3627,296.61
MRK,-2460,121.75
MSFT,-1077,406.0
QQQ,-44500,419.72
SMH,-2500,185.88
SOXL,-38764,32.12
SPXL,-19089,110.31
TAP,-36566,62.16
TQQQ,-15778,53.76
UDOW,-17830,78.19
UPRO,-53345,58.11
URNM,42704,54.43
USO,-4500,71.24
