Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
EXC,STK,47.35,6084,6317,233,3.83,0.298,299113.29
MCK,STK,319.13,894,937,43,4.81,0.298,299113.29
ABBV,STK,151.72,1898,1971,73,3.846,0.298,299113.29
ADM,STK,84.15,3449,3555,106,3.073,0.298,299113.29
ED,STK,94.82,3011,3155,144,4.782,0.298,299113.29
ABC,STK,149.38,1898,2002,104,5.479,0.298,299113.29
DLTR,STK,135.57,2195,2195,0,0.501,0.298,299113.29
CF,STK,102,2802,2932,130,4.64,0.298,299113.29
VRTX,STK,255.45,1136,1171,35,3.081,0.298,299113.29
SRE,STK,161.89,1762,1848,86,4.881,0.298,299113.29
BMY,STK,75.96,3763,3938,175,4.651,0.298,299113.29
CTVA,STK,59,5023,5023,0,0.936,0.298,299113.29
HSY,STK,205.12,1388,1458,70,5.043,0.298,299113.29
KO,STK,60.58,4726,4937,211,4.465,0.298,299113.29
MO,STK,51.49,5414,5809,395,7.296,0.298,299113.29
QQQ,STK,293.93,82399,82399,0,1.706,24.5,24632859.42
XLE,STK,82.2,24244,24244,0,1.534,2.013,2023413.45
GNR,STK,59.97,32756,33740,984,3.004,2.013,2023413.45
KSA,STK,45.2,42708,44766,2058,4.819,2.013,2023413.45
ZB,FUT,139531.3,10,11,1,10,1.5,1508134.25
ZT,FUT,210617.14,7,7,0,0,1.5,1508134.25
GBS,FUT,116724,25,26,1,4,3,3016268.5
JGB,FUT,1168997.75,4,4,0,0,5,5027114.17
IAU,STK,35.06,27729,28677,948,3.419,1,1005422.83
ZC,FUT,38800,20,21,1,5,0.8,804338.27
CT,FUT,73480,11,11,0,0,0.8,804338.27
NG,FUT,80570,10,10,0,0,0.8,804338.27
ZL,FUT,48150,16,17,1,6.25,0.8,804338.27
HO,FUT,154656.4,5,5,0,0,0.8,804338.27
COIL,FUT,110210,7,7,0,0,0.8,804338.27
RB,FUT,156739.8,5,5,0,0,0.8,804338.27
GOIL,FUT,106500,8,8,0,0,0.8,804338.27
CL,FUT,110140,7,7,0,0,0.8,804338.27
,,,,,,,,
,,,,,,,1.354,54493917.55
