"BOF","U8251256","Portfolio Dashboard","6","2025-01-09","2025-01-09","2025-10-03;01:55:44","100","100"
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"64378423.867367476","0","0","0","64340660.01115048"
"EOS","CNAV","1","64340660.01115048"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
-3661.965,-3661.965,0.0,190000.0,,,1.0,1109,STK,COMMON,1109,21.85
4587.093,4587.093,0.0,25500.0,,,1.0,1211,STK,COMMON,1211,255.8
0.0,0.0,0.0,2625000.0,,,1.0,1288,STK,COMMON,1288,4.26
18309.825,18309.825,0.0,150000.0,,,1.0,1810,STK,COMMON,1810,33.75
2152.2075,2152.2075,0.0,5000.0,,,1.0,2020,STK,COMMON,2020,78.6
-4015.3125,-4015.3125,0.0,125000.0,,,1.0,2318,STK,COMMON,2318,42.8
4240.17,4240.17,0.0,20000.0,,,1.0,2359,STK,COMMON,2359,52.75
-7825.041,-7825.041,0.0,435000.0,,,1.0,2828,STK,ETF,2828,71.34
1927.35,1927.35,0.0,600000.0,,,1.0,3067,STK,ETF,3067,9.045
-3694.0875,-3694.0875,0.0,12500.0,,,1.0,3690,STK,COMMON,3690,144.4
-1233.0435,-1233.0435,0.0,10000.0,,,1.0,6178.T,STK,COMMON,6178,1534.5
-5311.572,-5311.572,0.0,15000.0,,,1.0,6501.T,STK,COMMON,6501,3909.0
616.752,616.752,0.0,240000.0,,,1.0,688,STK,COMMON,688,12.14
22395.807,22395.807,0.0,41500.0,,,1.0,700,STK,COMMON,700,373.4
-8994.3,-8994.3,0.0,500000.0,,,1.0,883,STK,COMMON,883,18.88
-803.0625,-803.0625,0.0,125000.0,,,1.0,941,STK,COMMON,941,75.25
-3372.8625,-3372.8625,0.0,12500.0,,,1.0,9618,STK,COMMON,9618,133.2
1863.105,1863.105,0.0,50000.0,,,1.0,992,STK,COMMON,992,9.82
-7323.93,-7323.93,0.0,9500.0,,,1.0,9961,STK,COMMON,9961,504.5
-1156.41,-1156.41,0.0,30000.0,,,1.0,9988,STK,COMMON,9988,80.6
-10962.15,-10962.15,0.0,500000.0,,,1.0,9CI,STK,COMMON,9CI,2.48
0.0,0.0,0.0,2000.0,,,1.0,AAPL,STK,COMMON,AAPL,242.7
0.0,0.0,0.0,2000.0,,,1.0,AMZN,STK,COMMON,AMZN,222.13
0.0,0.0,0.0,1000.0,,,1.0,ANF,STK,COMMON,ANF,151.62
0.0,0.0,0.0,500.0,,,1.0,ASML,STK,NY REG SHRS,ASML,743.98
