Symbol,Quantity,AvgPrice
2800,-21500,24.84
2823,-19800,18.13
AZO,-36,1921.69
CHD,3250,103.41
CNYB,249535,5.71
COILJ2,-5,85.05
DRE,-1079,56.18
EXC,-1150,55.75
EXR,-320,190.5
EXXX,-535,39.63
F,-17409,19.4
FITB,-989,44.0
FM,-2687,33.35
GOILG2,-31,760.73
GOILH2,25,753.25
GS,-1054,331.11
HOH2,-4,2.59
HSY,1677,200.59
HYD,-6500,61.14
IAU,-8524,34.87
IJS,-1068,97.85
KCH2,9,2.34
KE   MAR 22,5,8.07
KSA,-2104,43.76
LEJ2,3,1.4
LTPZ,-6000,85.33
MAA,-337,198.03
MCK,-255,242.35
NGH2,-26,3.85
PBW,-602,51.71
PEP,-450,173.22
PG,-398,161.7
PLD,-580,151.81
PSA,-190,345.34
QQQ,-9198,340.86
RBH2,-4,2.4
SBH2,11,0.19
SBNY,-122,300.91
STIP,-7803,105.04
TSN,-556,89.14
WM,-396,148.12
XLE,-1796,60.65
Z3N  MAR 22,-4,113.08
ZB   MAR 22,-2,156.34
ZC   MAR 22,38,6.15
ZM   MAR 22,-24,390.51
ZN   MAR 22,-3,128.58
ZO   MAR 22,-7,6.3
ZT   MAR 22,-4,108.63
ZW   MAR 22,6,7.91
