Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
CMCSA,STK,42.67,12705,10605,-2100,-16.529,0.2,452506.62
COR,STK,203.95,1702,2219,517,30.376,0.2,452506.62
FTNT,STK,55.04,10691,0,-10691,-100,0,0
SGEN,STK,228.9,1561,1977,416,26.65,0.2,452506.62
CMG,STK,2320.39,153,195,42,27.451,0.2,452506.62
AAPL,STK,194.71,2839,2324,-515,-18.14,0.2,452506.62
MSFT,STK,374.38,1436,1209,-227,-15.808,0.2,452506.62
GOOGL,STK,132.52,3945,3415,-530,-13.435,0.2,452506.62
DAL,STK,41.24,8446,10973,2527,29.919,0.2,452506.62
LLY,STK,584.76,914,774,-140,-15.317,0.2,452506.62
GE,STK,122.32,3609,3609,0,2.494,0.2,452506.62
ASML,STK,720.56,615,615,0,2.114,0.2,452506.62
KNSL,STK,339.38,1531,1333,-198,-12.933,0.2,452506.62
HD,STK,333.2,1326,1326,0,2.413,0.2,452506.62
JBL,STK,120.15,4131,3766,-365,-8.836,0.2,452506.62
DHI,STK,139.8,2704,3237,533,19.712,0.2,452506.62
MRK,STK,104.36,3280,4336,1056,32.195,0.2,452506.62
HOOD,STK,11.63,36967,38909,1942,5.253,0.2,452506.62
SMH,STK,168.14,3335,2691,-644,-19.31,0.2,452506.62
SOXL,STK,26.65,141700,141700,0,1.854,1.7,3846306.23
TNA,STK,32.24,337200,350889,13689,4.06,5,11312665.38
UPRO,STK,50.89,251631,251631,0,2.477,5.8,13122691.84
SPXL,STK,96.74,90439,98229,7790,8.614,4.2,9502638.92
UDOW,STK,68.58,79245,82478,3233,4.08,2.5,5656332.69
600519,STK,231.782426778243,900,700,-200,-13.222,0.08,181002.65
700,STK,39.3341869398207,12900,11500,-1400,-10.822,0.2,452506.62
9988,STK,8.88604353393086,22000,20300,-1700,-7.414,0.08,181002.65
9888,STK,14.0076824583867,15600,12900,-2700,-17.167,0.08,181002.65
QQQ,STK,398.67,182668,182668,0,2.526,33,74663591.48
URNM,STK,49.01,27349,23082,-4267,-15.602,0.5,1131266.54
USL,STK,34.15,36758,33126,-3632,-9.881,0.5,1131266.54
VCIT,STK,79.22,98504,98504,0,2.493,3.535,7998054.42
CWB,STK,69.49,111678,115096,3418,3.061,3.535,7998054.42
TLT,STK,94.62,81753,84528,2775,3.394,3.535,7998054.42
TMF,STK,56.99,199748,208428,8680,4.345,5.25,11878298.64
MCD,STK,291.42,26873,26873,0,2.129,3.535,7998054.42
KO,STK,59.42,131873,131873,0,2.069,3.535,7998054.42
HUM,STK,481.94,13160,14084,924,7.021,3,6787599.22
LQD,STK,107.94,72215,72215,0,2.606,3.535,7998054.42
HYG,STK,75.98,102288,0,-102288,-100,0,0
USHY,STK,35.73,0,223847,223847,Inf,3.535,7998054.42
XBTF,STK,38.58,15560,17594,2034,13.072,0.3,678759.92
COIN,STK,139.62,10499,11343,844,8.039,0.7,1583773.15
GLD,STK,183.49,91855,98644,6789,7.391,8,18100264.6
,,,,,,,,
,,,,,,,5.458,224522469.82
