Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
MCK,STK,367,1384,1294,-90,-6.503,0.333,474817.63
ED,STK,97.74,5065,4858,-207,-4.087,0.333,474817.63
SRE,STK,164.9,2986,2879,-107,-3.583,0.333,474817.63
BMY,STK,67.41,7299,7044,-255,-3.494,0.333,474817.63
NOC,STK,477.99,1032,993,-39,-3.779,0.333,474817.63
HSY,STK,224.66,2205,2113,-92,-4.172,0.333,474817.63
MRK,STK,85.02,5730,5730,0,-2.531,0.333,474817.63
K,STK,72.74,6772,6528,-244,-3.603,0.333,474812.93
ADM,STK,87.72,5537,5537,0,-2.239,0.333,474812.93
CTVA,STK,61.43,7912,7912,0,-2.313,0.333,474812.93
SO,STK,76.96,6387,6170,-217,-3.398,0.333,474812.93
AEP,STK,100.2,4876,4876,0,-2.81,0.333,474812.93
CF,STK,102.5,4528,4528,0,2.297,0.333,474812.93
WM,STK,169.03,2924,2809,-115,-3.933,0.333,474812.93
DTE,STK,130.34,3764,3643,-121,-3.215,0.333,474812.93
QQQ,STK,297.3,117526,117526,0,-2.157,24,34186872.96
XLE,STK,79.71,45207,45207,0,-1.175,2.5,3561132.6
XLU,STK,74.11,49396,49396,0,-2.721,2.5,3561132.6
SHYD,STK,22.62,60322,62973,2651,4.395,1,1424453.04
FPE,STK,17.63,77255,80797,3542,4.585,1,1424453.04
HYG,STK,73.92,18148,0,-18148,-100,0,0
ZB,FUT,134781.3,10,11,1,10,1,1424453.04
CGB,FUT,94081.5,14,15,1,7.143,1,1424453.04
GBL,FUT,145282.89,9,0,-9,-100,0,0
GBX,FUT,160648.62,8,9,1,12.5,1,1424453.04
OAT,FUT,138511.6,10,10,0,0,1,1424453.04
IGIB,STK,50.74,26747,28074,1327,4.961,1,1424453.04
TIP,STK,112.49,11904,12663,759,6.376,1,1424453.04
LTPZ,STK,65.94,19575,0,-19575,-100,0,0
IAU,STK,32.33,45822,44060,-1762,-3.845,1,1424453.04
NG,FUT,90790,8,8,0,0,0.5,712226.52
PA,FUT,205150,4,3,-1,-25,0.5,712226.52
HE,FUT,36400,20,20,0,0,0.5,712226.52
LE,FUT,57057.62,13,12,-1,-7.692,0.5,712226.52
ZM,FUT,41740,17,17,0,0,0.5,712226.52
GF,FUT,91400,8,8,0,0,0.5,712226.52
PB,FUT,48358.6,15,15,0,0,0.5,712226.52
ZSLME,FUT,83075,8,9,1,12.5,0.5,712226.52
KC,FUT,87300,8,8,0,0,0.5,712226.52
CT,FUT,55255,13,13,0,0,0.5,712226.52
,,,,,,,,
,,,,,,,1.951,68373707.57
