Symbol,Quantity,AvgPrice
ABBV,-356,144.9
ADM,-464,74.52
CB,-250,195.38
CNYB,-64219,5.66
COILK2,-4,99.42
CVS,-528,99.84
CYBA,-95104,5.87
EWU,-1676,32.48
EXC,-991,40.41
FITB,-671,44.79
FM,-3039,33.35
HGK2,1,4.49
HOJ2,-2,2.96
HSY,-146,196.73
IAU,-12713,36.62
KCK2,-2,2.41
KSA,-2289,44.86
LTPZ,-1976,82.43
MAA,-234,199.43
MCK,-170,264.87
MTB,-112,171.95
PEP,-295,162.22
PG,-206,152.0
PSA,-201,345.85
RBJ2,-2,3.0
SBK2,5,0.18
SBNY,-47,313.6
SIK2,1,24.84
STIP,-5846,105.75
XLE,-6687,66.88
Z3N  JUN 22,-3,111.41
ZB   JUN 22,-2,155.14
ZL   MAY 22,-6,0.73
ZN   JUN 22,-2,126.73
ZO   MAY 22,-6,6.79
ZT   JUN 22,-3,107.43
