Symbol,Quantity,AvgPrice
2800,-48500,24.73
2823,-67800,17.58
ABBV,-649,140.45
ADM,-1362,75.38
BK,10595,61.6
CB,-428,201.24
CHD,-3871,97.55
CNYB,-123586,5.64
COILJ2,-27,94.38
COILK2,22,92.53
CVS,-808,102.66
CYBA,-177091,5.84
DCH2,5,22.42
DRE,-13660,55.0
EXC,6585,41.75
EXR,-506,195.07
EXXX,2090,41.71
FITB,-1897,48.42
FM,4401,34.08
GFH2,2,1.67
GOILH2,-5,834.9
HGH2,-9,4.49
HOH2,-21,2.89
HOJ2,17,2.79
HSY,-270,202.38
HYD,-36757,59.45
IAU,-11177,35.46
IJS,-6158,100.55
KCK2,-4,2.49
KEY,25400,26.06
KSA,3260,44.63
LTPZ,-3518,80.62
MAA,-482,209.09
MCK,-359,268.67
PBW,-10786,56.18
PEP,-608,166.25
PG,-621,154.38
PLD,-5149,145.7
PSA,-267,357.12
QQQ,-26473,348.84
RBH2,-22,2.72
RBJ2,18,2.86
SBH2,59,0.18
SBK2,-51,0.18
SBNY,-127,334.38
SIH2,2,23.82
STIP,-10451,104.27
XLE,19945,68.45
Z3N  MAR 22,-5,111.48
ZB   MAR 22,-3,151.67
ZN   MAR 22,-5,125.97
ZO   MAR 22,-9,7.49
ZT   MAR 22,-5,107.51
