Symbol,Quantity,AvgPrice
2800,13500,25.02
2823,18400,17.86
ABBV,-539,142.86
ADM,-1010,77.0
CB,-349,207.66
CHD,-425,98.48
CNYB,-87294,5.65
CVS,-1027,105.54
CYBA,-131655,5.85
DRE,-1166,55.78
EXC,-748,42.51
EXR,-390,198.9
EXXX,-1426,43.16
FITB,-1990,49.44
FM,-3374,34.14
HSY,-241,204.51
HYD,-5376,59.53
IAU,-9247,34.9
IJS,-631,101.39
KSA,-3537,45.06
LTPZ,-2162,80.64
MAA,-358,213.55
MCK,-312,272.65
PBW,-1470,57.47
PEP,-408,169.19
PG,-570,156.83
PLD,-449,148.02
PSA,-146,358.88
QQQ,-17935,356.3
SBNY,-181,347.45
STIP,-9411,104.15
XLE,-3264,69.63
Z3N  MAR 22,-4,111.6
ZB   MAR 22,-3,151.5
ZN   MAR 22,-3,125.95
ZT   MAR 22,-4,107.61
