Symbol,Quantity,AvgPrice
2800,49000,24.62
2823,72100,17.61
ADM,325,77.02
BK,502,62.23
CB,140,205.31
CNYB,24431,5.67
COILK2,2,90.87
CYBA,35522,5.86
DCH2,-1,22.92
EXC,490,42.14
EXR,158,193.28
FITB,482,49.06
FM,1335,34.37
GOILH2,1,816.0
HGH2,-1,4.52
HOJ2,2,2.75
HSY,68,204.71
HYD,1018,59.44
IAU,2178,35.18
KCK2,1,2.51
KEY,766,26.34
KSA,1101,45.27
LTPZ,892,80.18
MAA,154,208.6
MCK,85,274.64
PEP,173,167.22
PSA,57,354.66
SBK2,-4,0.18
SBNY,45,340.08
STIP,2087,104.3
XLE,3084,67.71
Z3N  MAR 22,1,111.52
ZB   MAR 22,1,150.88
ZN   MAR 22,1,125.75
ZO   MAR 22,4,7.24
ZT   MAR 22,1,107.56
