Symbol,Quantity,AvgPrice
AMGN,149,267.54
AZO,16,2390.19
CAH,494,79.75
CEG,520,88.1
CGBH23,9,127.0
CI,137,329.78
CLG3,7,75.58
COILG3,6,79.38
COILH3,-7,79.78
DCF3,-17,19.09
EWH,45751,20.78
FMB,16107,50.57
GILD,436,86.36
GIS,471,87.44
GOILF3,3,887.42
HOF3,-2,3.16
HOG3,4,3.08
HSY,1358,236.58
HUM,88,504.45
HYD,15792,51.54
HYG,10805,74.21
IAU,3385,33.95
IGIB,16034,50.25
IGLB,-89746,51.66
IXC,-22016,37.5
KE   MAR 23,-16,8.38
LLY,109,357.9
LTPZ,91499,60.04
MCD,1199,267.22
MCK,102,378.69
MRK,385,109.67
NGF3,-4,6.17
NGG3,9,5.87
NOC,76,534.32
PGR,-2176,127.53
QQQ,-7795,271.07
RBF3,3,2.18
ROL,-7471,36.96
UB   MAR 23,6,141.01
VRTX,158,294.5
XLE,1376,83.88
ZB   MAR 23,42,129.47
ZC   MAR 23,-35,6.47
ZL   MAR 23,-8,0.63
ZM   MAR 23,8,447.52
ZO   MAR 23,-67,3.32
ZS   MAR 23,5,14.68
ZW   MAR 23,-17,7.49
