Symbol,Quantity,AvgPrice
AMGN,103,275.19
AZO,15,2440.97
CAH,484,78.74
CEG,321,91.14
CGBH23,6,127.25
CI,84,333.51
CLG3,-1,75.21
DCF3,-2,19.11
FMB,13404,50.8
GILD,341,88.57
GIS,416,87.0
HUM,78,524.82
HYD,12712,52.55
HYG,7913,76.05
IAU,2809,34.41
IGIB,13360,50.87
IGLB,12960,53.29
IXC,3290,38.52
KE   MAR 23,-1,8.73
LLY,120,364.97
MCK,107,371.83
MRK,310,109.76
NOC,73,528.75
PGR,239,129.51
QQQ,6353,291.52
ROL,1164,38.47
VRTX,120,311.85
XLE,891,86.59
ZL   MAR 23,-1,0.63
ZM   MAR 23,1,452.8
ZS   MAR 23,1,14.86
ZW   MAR 23,-1,7.63
