Symbol,Quantity,AvgPrice
AMGN,-51,284.78
AZO,-7,2547.07
CAH,-264,79.99
CEG,-3020,90.68
CGBH23,-3,127.39
CGFH23,-56,113.27
CI,-56,326.75
CLF3,11,80.22
COILG3,7,86.07
FMB,86575,50.58
GILD,-258,88.59
GIS,-293,86.1
GOILF3,-3,923.5
GOILZ2,4,915.75
HUM,-31,547.66
HYD,84241,51.84
HYG,-4899,75.09
IAU,-1732,33.69
IGIB,-7842,50.25
IGLB,-8797,51.96
IGSB,-94835,49.95
IXC,-3917,40.63
KE   MAR 23,-12,8.56
LLY,-60,372.84
MCK,-74,382.04
MRK,-177,109.56
NOC,-48,537.79
ORLY,-27,847.53
PGR,-159,131.33
QQQ,-4650,289.69
ROL,-445,39.46
VRTX,840,318.02
XLE,-1626,89.47
ZC   MAR 23,4,6.45
ZL   JAN 23,-9,0.64
ZM   JAN 23,-2,430.8
ZO   MAR 23,-30,3.45
ZS   JAN 23,-1,14.48
ZW   MAR 23,4,7.49
