Symbol,Quantity,AvgPrice
ABBV,-410,140.9
ADM,-755,82.85
AEP,-679,95.63
BMY,-882,74.08
CF,-738,86.98
CLQ2,3,117.25
CNP,-2151,29.13
COILQ2,2,121.65
CTVA,-7386,56.34
CTZ2,19,1.22
DCM2,-17,24.33
DCN2,23,24.68
ED,-744,93.07
EXC,-1378,44.77
GOILN2,9,1268.44
HON2,6,4.31
HSY,1779,211.32
IAU,-6527,34.74
IXC,-12932,38.14
LMT,-145,424.6
MCK,-235,309.55
NGN2,3,8.76
NOC,-154,460.27
PGR,-562,113.3
PLN2,-18,933.69
QQQ,-13118,278.51
RBN2,2,4.11
SO,-850,70.17
SRE,-454,150.28
STIP,22614,102.39
XLE,-5106,84.09
ZL   DEC 22,24,0.75
ZL   JUL 22,-17,0.8
ZS   JUL 22,-10,17.26
ZS   NOV 22,13,15.43
ZT   SEP 22,-2,104.17
