BOF,U8251256,Portfolio Dashboard,6,9/10/2025,9/10/2025,2025-10-10;01:27:00,100,100,,,,
ClientAccountID,CurrencyPrimary,,,,,,,,,,,
U18135473,USD,,,,,,,,,,,
EOS,ACCT,1,0,,,,,,,,,
BOS,CNAV,Change In NAV,,,,,,,,,,
StartingValue,Realized,ChangeInUnrealized,DepositsWithdrawals,EndingValue,,,,,,,,
85555142.77,0,0,0,85351173.34,,,,,,,,
EOS,CNAV,1,85351173.34,,,,,,,,,
BOS,MTMP,Mark-to-Market Performance Summary in Base,,,,,,,,,,
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice,
5428.2624,5428.2624,0,132000,,,1,1109,STK,COMMON,1109,29.12,
17641.8528,17641.8528,0,2288000,,,1,1288,STK,COMMON,1288,5.15,
12626.1075,12626.1075,0,1965000,,,1,1398,STK,COMMON,1398,5.65,
6118.415755,8535.6342,-1932.7904,73800,,,1,1698,STK,COMMON,1698,91.1,
-2891.475,-2891.475,0,45000,,,1,1810,STK,COMMON,1810,53.35,
-3886.1424,-3886.1424,0,37800,,,1,2359,STK,COMMON,2359,119.4,
-505.0443,-505.0443,0,65500,,,1,2800,STK,ETF,2800,27.4,
1873.6758,1873.6758,0,48600,,,1,2828,STK,ETF,2828,97.48,
90830.868,90830.868,0,380000,,,1,2899,STK,COMMON,2899,36.14,
-7910.04752,-7910.04752,0,384700,,,1,3067,STK,ETF,3067,13.64,
4266.532,4266.532,0,8300,,,1,3750,STK,COMMON,3750,585,
55652.5406,55652.5406,0,36700,,,1,388,STK,COMMON,388,456.8,
8315.8821,8315.8821,0,2157000,,,1,3988,STK,COMMON,3988,4.19,
2814.369,2814.369,0,43800,,,1,700,STK,COMMON,700,675.5,
11478.5132,11478.5132,0,1276000,,,1,762,STK,COMMON,762,8.83,
7452.16192,7452.16192,0,142600,,,1,8346.T,STK,COMMON,8346,445,
6963.5384,6963.5384,0,16400,,,1,8360.T,STK,COMMON,8360,3310,
8142.3936,8142.3936,0,576000,,,1,857,STK,COMMON,857,7.26,
5011.89,5011.89,0,130000,,,1,883,STK,COMMON,883,18.8,
19091.4456,19091.4456,0,123800,,,1,9633,STK,COMMON,9633,54.2,
12401.215,12401.215,0,9650,,,1,9961,STK,COMMON,9961,561,
-54726.01643,-53859.5388,362.3874,2876600,,,1,A17U,STK,REIT,A17U,2.85,
-88.44,-88.44,0,22,,,1,AAPL,STK,COMMON,AAPL,254.04,
-43030,-43030,0,13000,,,1,AGQ,STK,ETF,AGQ,78.79,
-822.64,-822.64,0,28,,,1,APP,STK,COMMON,APP,600.32,
-29179.70016,-29101.5,-77.91,33609,,,1,ARKK,STK,ETF,ARKK,91.66,
-10178.88,-10178.88,0,1104,,,1,AVAV,STK,COMMON,AVAV,398.29,
-17190,-17190,0,28650,,,1,AVDV,STK,ETF,AVDV,89.33,
-6087.78,-6087.78,0,9819,,,1,AVEM,STK,ETF,AVEM,75.87,
-37.2,-37.2,0,5,,,1,BABA,STK,ADR,BABA,173.68,
-1350,-1350,0,1500,,,1,BMNR,STK,COMMON,BMNR,59.1,
-8415.6972,-8415.6972,0,182300,,,1,BN4,STK,COMMON,BN4,9.17,
-1452.3,-1452.3,0,1030,,,1,BWXT,STK,COMMON,BWXT,195.6,
661.684,661.684,0,43000,,,1,C6L,STK,COMMON,C6L,6.68,
-25410,-25410,0,1650,,,1,CACI,STK,COMMON,CACI,511.3,
10021.26194,14639.31,-4613.15,4097,,,1,CEG,STK,COMMON,CEG,383.23,
5557.5,5557.5,0,1425,,,1,CME,STK,COMMON,CME,268.84,
-149.85,-149.85,0,555,,,1,COIN,STK,COMMON,COIN,387,
0.38,0.38,0,19,,,1,CRCL,STK,COMMON,CRCL,150.48,
-3.28,-3.28,0,4,,,1,CRWD,STK,COMMON,CRWD,509.13,
-27.75,-27.75,0,75,,,1,CSCO,STK,COMMON,CSCO,69.96,
-25317.16,-25317.16,0,3586,,,1,CTAS,STK,COMMON,CTAS,191.75,
-6432.3,-6432.3,0,3063,,,1,CVX,STK,COMMON,CVX,151.64,
-276.984,-276.984,0,1000,,,1,D05,STK,COMMON,D05,53.91,
-2.15,-2.15,0,43,,,1,DDOG,STK,COMMON,DDOG,164.07,
-36.24,-36.24,0,8,,,1,DE,STK,COMMON,DE,456.22,
346.5,346.5,0,630,,,1,DFDV,STK,COMMON,DFDV,17.91,
8277.81,8277.81,0,16231,,,1,DG,STK,COMMON,DG,98.67,
-100.5,-100.5,0,5025,,,1,EBND,STK,ETF,EBND,21.22,
-3.12,-3.12,0,4,,,1,EFA,STK,ETF,EFA,93.97,
-2559.15,-2559.15,0,1815,,,1,EMR,STK,COMMON,EMR,131.53,
413.07,413.07,0,843,,,1,ETN,STK,COMMON,ETN,377.19,
-2626.63,-2626.63,0,8473,,,1,EWW,STK,ETF,EWW,65.42,
-1.6,-1.6,0,8,,,1,EWZ,STK,ETF,EWZ,29.67,
-35726.04,-35726.04,0,56708,,,1,FXE,STK,ETF,FXE,106.62,
-39098.76,-39098.76,0,53604,,,1,FXF,STK,ETF,FXF,109.7,
-16447.5,-16447.5,0,96750,,,1,FXY,STK,ETF,FXY,60.09,
-39294,-39294,0,11100,,,1,GDX,STK,ETF,GDX,75.61,
-10544.85,-10544.85,0,3285,,,1,GE,STK,COMMON,GE,299.35,
661.5,661.5,0,75,,,1,GEV,STK,COMMON,GEV,634.27,
-457.5,-457.5,0,75,,,1,HD,STK,COMMON,HD,377.69,
-29736.55,-29736.55,0,40735,,,1,IAUM,STK,ETF,IAUM,39.6,
-28414.32,-28414.32,0,21526,,,1,IBIT,STK,ETF,IBIT,68.74,
-461.25,-461.25,0,375,,,1,IBM,STK,COMMON,IBM,288.23,
-148.54,-148.54,0,2122,,,1,ICE,STK,COMMON,ICE,159.3,
-30718.08,-30718.08,0,47997,,,1,IDMO,STK,ETF,IDMO,53.63,
3000,3000,0,2000,,,1,JPM,STK,COMMON,JPM,305.53,
408,408,0,2400,,,1,LAC,STK,COMMON,LAC,8.04,
7222.5,7222.5,0,750,,,1,LLY,STK,COMMON,LLY,855.35,
-21287.18596,-24977.0322,5061.1132,4057800,,,1,ME8U,STK,REIT,ME8U,2.14,
7228.36,7228.36,0,76,,,1,MELI,STK,COMMON,MELI,2275,
21261.41306,20792.7,470,15590,,,1,NDAQ,STK,COMMON,NDAQ,91.4,
-4007.22,-4007.22,0,1363,,,1,NOC,STK,COMMON,NOC,635.01,
25.41,25.41,0,7,,,1,NOW,STK,COMMON,NOW,917.95,
-8132,-8132,0,813200,,,1,NTDU,STK,REIT,NTDU,1.05,
3979,3979,0,1150,,,1,NVDA,STK,COMMON,NVDA,192.57,
-8920.1,-8920.1,0,25486,,,1,O,STK,REIT,O,58.66,
-4398.98,-4398.98,0,1679,,,1,PANW,STK,COMMON,PANW,215.17,
-12959.1,-12959.1,0,8415,,,1,PKB,STK,ETF,PKB,94.14,
143.25,143.25,0,75,,,1,PLTR,STK,COMMON,PLTR,185.47,
18819.38,18819.38,0,11911,,,1,PM,STK,COMMON,PM,156.85,
-91.5,-91.5,0,75,,,1,PONY,STK,ADR,PONY,22.24,
-11.1,-11.1,0,15,,,1,QQQ,STK,ETF,QQQ,610.7,
-38768.13,-38768.13,0,6067,,,1,RTX,STK,COMMON,RTX,162.18,
-7739.3946,-7739.3946,0,143700,,,1,S68,STK,COMMON,S68,17.63,
-192,-192,0,75,,,1,SHOP,STK,COMMON,SHOP,163.87,
-7703.18325,-7836.92,163.044,70978,,,1,SHYG,STK,ETF,SHYG,42.86,
-390,-390,0,3900,,,1,SLI,STK,COMMON,SLI,4.41,
-96.53,-96.53,0,197,,,1,SPLV,STK,ETF,SPLV,72.35,
3057.649236,4023.75,-886.905,52075,,,1,SPMO,STK,ETF,SPMO,121.8,
-139.5,-139.5,0,75,,,1,SPXL,STK,ETF,SPXL,216.25,
38.01,38.01,0,181,,,1,STZ,STK,COMMON,STZ,142.97,
-48681.39317,-44665.39,-3983.58,129172,,,1,TQQQ,STK,ETF,TQQQ,108.45,
-556.8,-556.8,0,120,,,1,TSM,STK,ADR,TSM,299.88,
49909.4392,49909.4392,0,1621700,,,1,U96,STK,COMMON,U96,6.47,
4216.836884,3384,835.0448,10000,,,1,URA,STK,ETF,URA,51.49,
-8.25,-8.25,0,15,,,1,USMV,STK,ETF,USMV,94.88,
250.853161,628.48,-370.2,11556,,,1,UTES,STK,ETF,UTES,86.59,
9638,9638,0,240950,,,1,UVXY,STK,ETF,UVXY,10.49,
6140,6140,0,76750,,,1,VIXY,STK,ETF,VIXY,32.37,
1581,1581,0,1054,,,1,VRT,STK,COMMON,VRT,168.88,
11902.5,11902.5,0,3450,,,1,VST,STK,COMMON,VST,210,
-8434.86,-8434.86,0,17214,,,1,VZ,STK,COMMON,VZ,40.83,
-16102.8,-16102.8,0,19880,,,1,XSMO,STK,ETF,XSMO,72.57,
2088.2875,2088.2875,0,-50,29/6/2026,430,100,388 29JUN26 430 P,OPT,P,388,28.63,
5301.0375,5301.0375,0,50,29/6/2026,440,100,388 29JUN26 440 C,OPT,C,388,54.42,
5050.443,5050.443,0,-100,29/9/2026,440,100,388 29SEP26 440 P,OPT,P,388,39.82,
