Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
GS,STK,375.5,1151,1151,0,0.869,0.149,435889.31
EXR,STK,215.8,4096,4096,0,-1.367,0.298,871778.61
IT,STK,308.71,2689,2824,135,5.02,0.298,871778.61
MAA,STK,218.55,3940,3940,0,1.244,0.298,871778.61
WM,STK,160.59,5289,5289,0,2.647,0.298,871778.61
TEAM,STK,,0,,,,0,0
PLD,STK,161.39,5355,5355,0,0.878,0.298,871778.61
TMO,STK,649.32,1328,1328,0,1.13,0.298,871778.61
ODFL,STK,333.85,2500,2611,111,4.44,0.298,871778.61
SPG,STK,146.5,2895,2895,0,2.763,0.149,435889.31
F,STK,19.64,44017,44017,0,0.843,0.298,871778.61
MMC,STK,168.3,5166,5166,0,0.271,0.298,871778.61
PKI,STK,188.22,4677,4677,0,-0.962,0.298,871778.61
DRE,STK,62.31,14032,14032,0,-0.292,0.298,871778.61
PSA,STK,365.97,2419,2419,0,-1.53,0.298,871778.61
AZO,STK,1994.3,437,437,0,0,0.298,871778.61
DGX,STK,171.49,5043,5043,0,0.813,0.298,871778.61
QQQ,STK,383.86,209202,209202,0,-0.857,27.17,79616097.58
XLE,STK,53.51,26640,26640,0,-1.096,0.481,1409907.77
PBW,STK,68.87,19706,20472,766,3.887,0.481,1409907.77
2823,STK,2.36,599200,599200,0,-0.297,0.481,1409907.77
2800,STK,2.96,475000,475000,0,0.278,0.481,1409907.77
IJS,STK,99.12,14073,14073,0,1.073,0.481,1409907.77
KSA,STK,40.54,34698,34698,0,0.231,0.481,1409907.77
FM,STK,33.95,41894,41894,0,-0.871,0.481,1409907.77
STIP,STK,105.26,140039,140039,0,-0.602,5,14651741.4
LTPZ,STK,89.71,49609,49609,0,-1.234,1.5,4395522.42
ZN,FUT,131031.26,34,34,0,0,1.5,4395522.42
ZB,FUT,161500,27,27,0,0,1.5,4395522.42
UB,FUT,197500,22,22,0,0,1.5,4395522.42
ZT,FUT,218359.38,68,68,0,-1.471,5,14651741.4
Z3N,FUT,228093.75,65,65,0,-1.538,5,14651741.4
CYBA,STK,5.77,1537370,1537370,0,-0.897,3,8791044.84
IGLB,STK,69.44,63478,63478,0,-0.28,1.5,4395522.42
GBS,FUT,126766.52,116,116,0,0,5,14651741.4
GBX,FUT,240587.53,36,36,0,2.778,3,8791044.84
GBL,FUT,196374,22,22,0,0,1.5,4395522.42
BTS,FUT,128088.17,115,115,0,-0.87,5,14651741.4
IAU,STK,34.17,85857,85857,0,-0.115,1,2930348.28
RB,FUT,87868.2,10,10,0,0,0.294,861867.3
ZC,FUT,29562.48,29,29,0,0,0.294,861867.3
KC,FUT,84675,10,10,0,0,0.294,861867.3
HO,FUT,92064,9,9,0,0,0.294,861867.3
COIL,FUT,72130,12,12,0,0,0.294,861867.3
ZL,FUT,32052,-27,-27,0,0,-0.294,861867.3
ZO,FUT,33375,-25,-26,-1,4,-0.294,861867.3
PL,FUT,46670,-37,-37,0,0,-0.588,1723734.89
CT,FUT,53060,-32,-32,0,0,-0.588,1723734.89
SI,FUT,113350,-15,-15,0,0,-0.588,1723734.89
ZW,FUT,38750,-45,-45,0,-2.222,-0.588,1723734.89
SB,FUT,20899.2,-81,-81,0,1.235,-0.588,1723734.89
PA,FUT,,0,,,,0,0
CL,FUT,,0,,,,0,0
,,,,,,,,
,,,,,,,3.853,237358156.16
