Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($),,
SGEN,STK,192.98,3322,2692,-630,-18.964,0.333,519563.11,,
ACGL,STK,77.36,8283,6716,-1567,-18.918,0.333,519563.11,,
GE,STK,111.92,5793,4642,-1151,-19.869,0.333,519563.11,,
CHD,STK,96.97,6819,5358,-1461,-21.425,0.333,519563.11,,
PANW,STK,235.21,2582,2209,-373,-14.446,0.333,519563.11,,
DHI,STK,125.74,5190,4132,-1058,-20.385,0.333,519563.11,,
WST,STK,370.58,1738,1402,-336,-19.333,0.333,519563.11,,
LEN,STK,,0,,,,0,0,,
TDG,STK,887.36,716,586,-130,-18.156,0.333,519563.11,,
NVR,STK,,0,,,,0,0,,
FDX,STK,265.45,2415,1957,-458,-18.965,0.333,519563.11,,
BKNG,STK,2884.92,219,180,-39,-17.808,0.333,519563.11,,
PH,STK,405.87,1560,1280,-280,-17.949,0.333,519563.11,,
PWR,STK,202.32,3295,2568,-727,-22.064,0.333,519563.11,,
VRSK,STK,232.42,2817,2235,-582,-20.66,0.333,519563.11,,
RCL,STK,105.2,6089,4939,-1150,-18.887,0.333,519563.11,,
ABNB,STK,144.09,4312,3606,-706,-16.373,0.333,519563.11,,
QQQ,STK,373.12,157222,125325,-31897,-20.288,30,46761147.72,,
KSA,STK,40.83,116298,95439,-20859,-17.936,2.5,3896762.31,,
INDA,STK,43.53,112081,89519,-22562,-20.13,2.5,3896762.31,,
STIP,STK,97.09,61659,48163,-13496,-21.888,3,4676114.77,,
IGSB,STK,50.06,119446,93410,-26036,-21.797,3,4676114.77,,
IGIB,STK,49.93,118410,93653,-24757,-20.908,3,4676114.77,,
IGLB,STK,49.76,116641,93973,-22668,-19.434,3,4676114.77,,
HYG,STK,74.5,79594,62767,-16827,-21.141,3,4676114.77,,
FPE,STK,16.2,357606,288649,-68957,-19.283,3,4676114.77,,
HYD,STK,50.62,116505,92377,-24128,-20.71,3,4676114.77,,
FMB,STK,50.48,118271,92633,-25638,-21.677,3,4676114.77,,
GBX,FUT,144146.08,40,32,-8,-20,3,4676114.77,,
GBL,FUT,144386.58,40,32,-8,-20,3,4676114.77,,
BTP,FUT,125310.65,46,37,-9,-19.565,3,4676114.77,,
OAT,FUT,138363.17,42,34,-8,-19.048,3,4676114.77,,
IAU,STK,36.63,53516,42553,-10963,-20.485,1,1558704.92,,
GF,FUT,125175,16,13,-3,-18.75,1.053,1640742.06,,
CC,FUT,35500,57,46,-11,-19.298,1.053,1640742.06,,
SB,FUT,27171.2,75,60,-15,-20,1.053,1640742.06,,
SI,FUT,118025,17,14,-3,-17.647,1.053,1640742.06,,
HG,FUT,95862.52,21,17,-4,-19.048,1.053,1640742.06,,
ZS,FUT,66475,31,25,-6,-19.355,1.053,1640742.06,,
LE,FUT,72250,14,11,-3,-21.429,0.526,820371.03,,
SCI,FUT,10370,-96,-79,17,-17.708,-0.526,820371.03,,
PA,FUT,123000,-8,-7,1,-12.5,-0.526,820371.03,,
KC,FUT,62362.47,-17,-13,4,-23.529,-0.526,820371.03,,
TSR20,FUT,6409.13,-160,-128,32,-20,-0.526,820371.03,,
ZC,FUT,25075,-40,-33,7,-17.5,-0.526,820371.03,,
ZSLME,FUT,,0,,,,0,0,,
PB,FUT,,0,,,,0,0,,
ZW,FUT,,0,,,,0,0,,
NG,FUT,25050,-39,-33,6,-15.385,-0.526,820371.03,,
,,,,,,,,,,
,,,,,,,3.565,135607250.7,,38038499.5
