Symbol,Quantity,AvgPrice
ALIK3,-10,2328.4
AZO,-6,2443.64
CB,-1873,193.75
CTK3,-17,0.8
DCJ3,15,17.65
DE,35,396.03
FMB,-916,50.67
FSLR,1798,206.22
GFJ3,-6,1.96
GOILJ3,-7,804.54
HOJ3,-5,2.76
HYD,-942,51.07
IAU,-1197,36.16
IGIB,-1067,50.5
IGSB,-1092,50.23
KE   MAY 23,14,8.04
LEJ3,-16,1.63
LEM3,8,1.58
LTPZ,-1229,62.15
PCG,23594,15.95
RBJ3,-5,2.59
REGN,-16,763.85
SBK3,-24,0.21
SCHW,-5736,50.93
SIK3,-5,21.81
STIP,-481,98.26
TIP,-339,109.23
ZC   MAY 23,-17,6.16
ZM   MAY 23,-11,483.37
ZO   MAY 23,-30,3.47
ZW   MAY 23,-16,6.88
