Symbol,Quantity,AvgPrice
ABBV,-85,151.01
ALIK3,1,2355.75
CAH,-202,72.49
CB,-100,205.23
DCJ3,1,17.65
FMB,-1485,50.28
GFJ3,-1,1.98
GILD,-178,80.06
HOJ3,-1,2.72
HYD,-1400,50.81
HYG,-493,74.13
IAU,-1505,34.49
IGIB,-741,49.6
IGSB,-1376,49.62
KE   MAY 23,1,7.97
LEJ3,-1,1.65
LTPZ,-685,59.58
LVS,-299,59.04
MRK,-241,108.73
ORLY,-23,828.87
PGR,-126,144.82
QQQ,-4240,297.03
REGN,-18,760.63
SBK3,-3,0.21
STIP,-680,97.06
TRV,-97,179.61
ULTA,-28,520.28
ZC   MAY 23,1,6.36
ZM   MAY 23,-1,490.7
ZO   MAY 23,3,3.48
ZW   MAY 23,1,6.92
