Symbol,Quantity,AvgPrice
ABBV,151,154.17
ALIK3,-2,2257.75
AZO,13,2423.94
CAH,604,69.88
CGBM23,1,127.7
CGFM23,16,115.08
CTK3,-3,0.79
DE,99,389.45
FMB,-24641,50.6
FSLR,177,201.31
GFJ3,1,1.95
GILD,323,79.13
GOILJ3,2,741.62
HOJ3,1,2.58
HYD,-24390,51.02
IAU,2056,36.45
IGIB,-24802,50.49
IXC,4116,34.77
LEM3,1,1.57
LMT,73,475.07
LTPZ,1219,61.75
LVS,1018,53.89
MRK,291,106.03
ORLY,34,818.99
PCG,1808,15.9
PGR,321,140.61
QQQ,5956,302.15
RBJ3,1,2.43
REGN,53,737.55
SBK3,3,0.21
STIP,808,98.54
TIP,668,109.37
TN   JUN 23,11,121.73
TRV,263,168.79
ULTA,45,521.7
XLE,1883,76.68
ZB   JUN 23,10,132.36
ZC   MAY 23,-3,6.31
ZM   MAY 23,1,474.2
ZO   MAY 23,-5,3.45
ZW   MAY 23,-3,6.96
