Symbol,Quantity,AvgPrice
ABBV,-583,155.42
ALIK3,23,2264.38
AZO,-190,2383.07
CAH,-6352,71.11
CCK3,10,2764.4
CGBM23,19,127.11
CGFM23,22,114.76
CLK3,-9,66.26
COILM3,-8,72.19
CTK3,33,0.78
DE,-1172,393.83
EWH,53140,19.91
FSLR,-403,203.71
GFJ3,-7,1.95
GFK3,3,2.01
GILD,-999,78.83
GOILJ3,-4,773.69
HOJ3,-6,2.67
HOK3,3,2.52
HSY,1456,242.93
IAU,-8158,37.41
IXC,-37743,35.47
LEM3,-14,1.56
LLY,1076,332.2
LMT,-209,475.1
LTPZ,-22770,60.5
LVS,-1841,55.58
MRK,-901,106.0
NEM,7259,48.24
ORLY,-115,813.71
PCG,-5969,16.11
PGR,-648,138.77
QQQ,-28884,304.1
RBJ3,-6,2.5
REGN,-137,752.25
RING,44633,24.04
SBK3,-16,0.21
SGEN,1768,200.35
SIK3,12,22.56
STIP,18377,98.36
TIP,-12686,108.7
TN   JUN 23,15,121.5
TRV,-2664,168.44
UB   JUN 23,12,142.49
ULTA,-193,505.68
XLE,-17200,77.35
ZB   JUN 23,14,131.84
ZC   MAY 23,22,6.31
ZL   MAY 23,-17,0.58
ZM   MAY 23,-8,462.12
ZN   JUN 23,27,115.23
ZO   MAY 23,73,3.54
ZW   MAY 23,20,7.0
