Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
MRK,STK,117.14,5201,5201,0,-2.134,0.333,596209.2
LVS,STK,60.95,10242,9782,-460,-4.491,0.333,596203.3
ORLY,STK,962.1,641,620,-21,-3.276,0.333,596203.3
ULTA,STK,513.88,1240,1160,-80,-6.452,0.333,596203.3
SGEN,STK,199,3054,3054,0,-1.899,0.333,596203.3
HSY,STK,274.58,2228,2228,0,-2.558,0.333,596203.3
ACGL,STK,76.9,7972,7972,0,-2.747,0.333,596203.3
PCAR,STK,72.73,8650,0,-8650,-100,0,0
AZN,STK,75.29,8175,7919,-256,-3.131,0.333,596203.3
YUM,STK,138.51,4566,4304,-262,-5.738,0.333,596203.3
LLY,STK,437,1430,1364,-66,-4.615,0.333,596203.3
AZO,STK,2729.06,231,0,-231,-100,0,0
MDLZ,STK,78.21,7840,7840,0,-2.768,0.333,596203.3
GE,STK,99,6286,6022,-264,-4.2,0.333,596203.3
CHD,STK,96.86,6366,6155,-211,-3.314,0.333,596203.3
KMB,STK,144.65,0,4122,4122,Inf,0.333,596203.3
PG,STK,155.96,0,3823,3823,Inf,0.333,596203.3
QQQ,STK,325.95,169787,164623,-5164,-3.041,30,53658833.64
RING,STK,26.09,180255,0,-180255,-100,0,0
EWW,STK,62.12,74048,74048,0,-2.789,2.5,4471569.47
EWU,STK,33.22,0,134605,134605,Inf,2.5,4471569.47
STIP,STK,98.57,55578,55578,0,-2.053,3,5365883.36
LTPZ,STK,60.9,91765,88110,-3655,-3.983,3,5365883.36
IGSB,STK,50.58,108889,108889,0,-2.573,3,5365883.36
IGIB,STK,51.03,108160,108160,0,-2.781,3,5365883.36
IGLB,STK,51.35,107778,104496,-3282,-3.045,3,5365883.36
HYG,STK,74.42,73584,73584,0,-2.013,3,5365883.36
ZB,FUT,130187.5,42,42,0,-2.381,3,5365883.36
TN,FUT,121015.62,45,45,0,-2.222,3,5365883.36
ZN,FUT,115281.25,48,48,0,-2.083,3,5365883.36
ZF,FUT,109968.76,50,50,0,-2,3,5365883.36
CGB,FUT,92781.1,60,58,-2,-3.333,3,5365883.36
GBL,FUT,147740.27,37,37,0,-2.703,3,5365883.36
IAU,STK,38.2,48831,46823,-2008,-4.112,1,1788627.79
SB,FUT,29332.79,34,16,-18,-52.941,0.263,470691.53
GF,FUT,114500,9,4,-5,-55.556,0.263,470691.53
CC,FUT,29680,33,16,-17,-51.515,0.263,470691.53
LE,FUT,65770,15,7,-8,-53.333,0.263,470691.53
PL,FUT,53515,18,9,-9,-50,0.263,470691.53
SI,FUT,120850,8,4,-4,-50,0.263,470691.53
ZM,FUT,43930,-23,-11,12,-52.174,-0.263,470691.53
DA,FUT,32468.46,-61,-29,32,-52.459,-0.526,941383.07
HG,FUT,93737.52,-21,-10,11,-52.381,-0.526,941383.07
RB,FUT,102232.21,-19,0,19,-100,0,0
HO,FUT,97530.7,-20,-10,10,-50,-0.526,941383.07
SCI,FUT,10500,-201,0,201,-100,0,0
GOIL,FUT,66975,-30,0,30,-100,0,0
ZSLME,FUT,63962.5,0,-15,-15,-Inf,-0.526,941383.07
ZC,FUT,29537.5,0,-32,-32,-Inf,-0.526,941383.07
ZS,FUT,70037.5,0,-13,-13,-Inf,-0.526,941383.07
,,,,,,,,
,,,,,,,4.324,146667395.22
