Action,Quantity,Symbol,SecType,LastTradingDayOrContractMonth,DivPrt,Exchange,Currency,TimeInForce,OrderType,BasketTag,Account,OrderRef,Multiplier,
BUY,1,ALI,FUT,20230829,false,COMEX,USD,DAY,LMT,Basket,U8251256,Basket,25,
BUY,1,HE,FUT,20230717,false,CME,USD,DAY,LMT,Basket,U8251256,Basket,40000,
