"BOF","U8251256","Portfolio Dashboard","6","2024-10-04","2024-10-04","2025-10-06;09:32:57","100","100"
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"65768492.21180928","0","0","-11930.71","68053355.27433667"
"EOS","CNAV","1","68053355.27433667"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
276.8125,276.8125,0.0,-10.0,2024-10-30,50.0,500.0,2318 30OCT24 50 P,OPT,P,2318,0.92
209.21875,209.21875,0.0,-5.0,2024-10-30,52.5,500.0,2318 30OCT24 52.5 P,OPT,P,2318,1.61
566.5,566.5,0.0,-20.0,2024-10-30,72.5,1000.0,2828 30OCT24 72.5 P,OPT,P,2828,0.5
1390.5,1390.5,0.0,-30.0,2024-10-30,75.0,1000.0,2828 30OCT24 75 P,OPT,P,2828,0.9
708.125,708.125,0.0,-10.0,2024-10-30,77.5,1000.0,2828 30OCT24 77.5 P,OPT,P,2828,1.48
1055.75,1055.75,0.0,-10.0,2024-10-30,80.0,1000.0,2828 30OCT24 80 P,OPT,P,2828,2.31
556.2,556.2,0.0,-30.0,2024-10-30,410.0,100.0,700 30OCT24 410 P,OPT,P,700,1.84
927.0,927.0,0.0,-30.0,2024-10-30,430.0,100.0,700 30OCT24 430 P,OPT,P,700,5.31
1078.925,1078.925,0.0,-20.0,2024-10-30,460.0,100.0,700 30OCT24 460 P,OPT,P,700,15.41
-1042.875,-1042.875,0.0,-15.0,2024-10-30,21.0,1000.0,883 30OCT24 21 C,OPT,C,883,1.5
637.3125,637.3125,0.0,-10.0,2024-10-30,450.0,150.0,9961 30OCT24 450 P,OPT,P,9961,7.56
1749.7125,1749.7125,0.0,-15.0,2024-10-30,480.0,150.0,9961 30OCT24 480 P,OPT,P,9961,14.38
186.6875,186.6875,0.0,-10.0,2024-10-30,100.0,500.0,9988 30OCT24 100 P,OPT,P,9988,1.94
347.625,347.625,0.0,-10.0,2024-10-30,105.0,500.0,9988 30OCT24 105 P,OPT,P,9988,3.32
-133.830914,0.0,-130.0,-5.0,2024-10-11,230.0,100.0,AAPL 11OCT24 230 C,OPT,C,AAPL,1.26
113.7,113.7,0.0,-5.0,2024-10-04,900.0,100.0,BLK 04OCT24 900 P,OPT,P,BLK,0.0
1625.1,1625.1,0.0,-10.0,2024-10-04,940.0,100.0,BLK 04OCT24 940 P,OPT,P,BLK,0.0
1517.4,1517.4,0.0,-20.0,2024-10-04,150.0,100.0,BX 04OCT24 150 P,OPT,P,BX,0.0
1800.0,1800.0,0.0,-10.0,2024-10-04,152.5,100.0,BX 04OCT24 152.5 P,OPT,P,BX,0.58
-75.0,-75.0,0.0,-10.0,2024-10-18,300.0,100.0,CB 18OCT24 300 C,OPT,C,CB,1.025
-125.0,-125.0,0.0,-10.0,2024-10-18,200.0,100.0,CTAS 18OCT24 200 P,OPT,P,CTAS,1.65
400.0,400.0,0.0,-10.0,2024-10-18,205.0,100.0,CTAS 18OCT24 205 P,OPT,P,CTAS,2.9499
60.0,60.0,0.0,-15.0,2024-10-04,240.0,100.0,GLD 04OCT24 240 P,OPT,P,GLD,0.0
240.0,240.0,0.0,-15.0,2024-10-04,242.0,100.0,GLD 04OCT24 242 P,OPT,P,GLD,0.0
216.83056672,0.0,220.0,-10.0,2024-10-07,244.0,100.0,GLD 07OCT24 244 P,OPT,P,GLD,0.55
715.0,715.0,0.0,-5.0,2024-10-04,480.0,100.0,GS 04OCT24 480 P,OPT,P,GS,0.0
4828.05,4828.05,0.0,-5.0,2024-10-04,495.0,100.0,GS 04OCT24 495 P,OPT,P,GS,0.0
221.4769,0.0,218.6,-10.0,2024-10-11,142.0,100.0,HES 11OCT24 142 C,OPT,C,HES,1.2814
233.85722864,0.0,230.0,-50.0,2024-10-18,62.0,100.0,IJH 18OCT24 62 P,OPT,P,IJH,0.65
347.4925313,0.0,350.0,-5.0,2024-10-04,207.5,100.0,JPM 04OCT24 207.5 P,OPT,P,JPM,0.0
1027.5,1027.5,0.0,-5.0,2024-10-18,200.0,100.0,JPM 18OCT24 200 P,OPT,P,JPM,1.17
4222.2,4222.2,0.0,-10.0,2024-10-18,210.0,100.0,JPM 18OCT24 210 P,OPT,P,JPM,3.95
74.5,74.5,0.0,-1.0,2024-10-04,905.0,100.0,LLY 04OCT24 905 C,OPT,C,LLY,0.0
-5.08026588,0.0,-4.18,-1.0,2024-10-11,900.0,100.0,LLY 11OCT24 900 C,OPT,C,LLY,6.4418
330.0,330.0,0.0,-10.0,2024-10-04,300.0,100.0,MCD 04OCT24 300 P,OPT,P,MCD,0.0
437.5,437.5,0.0,-5.0,2024-10-04,302.5,100.0,MCD 04OCT24 302.5 P,OPT,P,MCD,0.0
-425.2847405,0.0,-422.75,-5.0,2024-10-11,305.0,100.0,MCD 11OCT24 305 P,OPT,P,MCD,3.3455
9.27381939,0.0,13.15,-5.0,2024-10-11,402.5,100.0,MSFT 11OCT24 402.5 P,OPT,P,MSFT,1.0837
1550.0,1550.0,0.0,-50.0,2024-10-04,126.0,100.0,NVDA 04OCT24 126 C,OPT,C,NVDA,0.0
-935.08278359,0.0,-900.0,-50.0,2024-10-11,128.0,100.0,NVDA 11OCT24 128 C,OPT,C,NVDA,1.54
-688.7178682,0.0,-650.0,-50.0,2024-10-11,130.0,100.0,NVDA 11OCT24 130 C,OPT,C,NVDA,0.95
57.2,57.2,0.0,-10.0,2024-10-04,140.0,100.0,PDD 04OCT24 140 P,OPT,P,PDD,0.0
-579.22235884,0.0,-571.4,-10.0,2024-10-11,150.0,100.0,PDD 11OCT24 150 P,OPT,P,PDD,3.9914
80.0,80.0,0.0,-10.0,2024-10-04,90.0,100.0,SE 04OCT24 90 P,OPT,P,SE,0.0
595.0,595.0,0.0,-10.0,2024-10-04,94.0,100.0,SE 04OCT24 94 P,OPT,P,SE,0.0
890.1,890.1,0.0,-10.0,2024-10-04,95.0,100.0,SE 04OCT24 95 P,OPT,P,SE,0.0
-10.06508806,0.0,-2.3,-10.0,2024-10-11,95.0,100.0,SE 11OCT24 95 P,OPT,P,SE,1.5323
-25.03781626,0.0,-17.3,-10.0,2024-10-11,100.0,100.0,SE 11OCT24 100 C,OPT,C,SE,0.6473
157.5,157.5,0.0,-15.0,2024-10-04,187.5,100.0,TSM 04OCT24 187.5 C,OPT,C,TSM,0.0
790.83782295,0.0,802.5,-15.0,2024-10-11,175.0,100.0,TSM 11OCT24 175 P,OPT,P,TSM,1.315
918.30191508,0.0,930.0,-15.0,2024-10-11,177.5,100.0,TSM 11OCT24 177.5 P,OPT,P,TSM,2.02
-1213.8116954,0.0,-1175.0,-50.0,2024-10-11,190.0,100.0,TSM 11OCT24 190 C,OPT,C,TSM,0.775
-502.0,-502.0,0.0,-10.0,2024-10-04,123.0,100.0,XHB 04OCT24 123 P,OPT,P,XHB,1.66
669.5,669.5,0.0,-25.0,2024-10-04,152.5,100.0,XLV 04OCT24 152.5 P,OPT,P,XLV,0.86
