Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
HCA,STK,,0,,,,0,0
GS,STK,385.01,2295,2426,131,5.708,0.298,933943.6
IPG,STK,37.38,23906,24985,1079,4.514,0.298,933943.6
NUE,STK,99.3,4550,4703,153,3.363,0.149,466971.8
EXR,STK,172.38,5230,5418,188,3.595,0.298,933943.6
JCI,STK,68.75,12829,13585,756,5.893,0.298,933943.6
IT,STK,301.48,2954,3098,144,4.875,0.298,933943.6
TGT,STK,228.72,1962,2042,80,4.077,0.149,466971.8
EXPD,STK,,0,,,,0,0
MAA,STK,191.06,4700,4888,188,4,0.298,933943.6
MRNA,STK,307.7,2890,3035,145,5.017,0.298,933943.6
MMC,STK,156.82,5758,5956,198,3.439,0.298,933943.6
OTIS,STK,,0,,,,0,0
CARR,STK,51.25,16902,18223,1321,7.816,0.298,933943.6
WM,STK,154.08,5856,6061,205,3.501,0.298,933943.6
REGN,STK,546.26,817,855,38,4.651,0.149,466971.8
EFX,STK,257.61,3477,3625,148,4.257,0.298,933943.6
RMD,STK,251.62,1768,1856,88,4.977,0.149,466971.8
RHI,STK,108.03,8153,8645,492,6.035,0.298,933943.6
TEAM,STK,389.5,2292,2398,106,4.625,0.298,933943.6
QQQ,STK,359.45,227035,237289,10254,4.516,27.169,85293370.3
XLE,STK,56.44,24944,26762,1818,7.288,0.481,1510456.15
PBW,STK,76.17,19599,19830,231,1.179,0.481,1510456.15
2823,STK,2.37,615300,637323,22023,3.579,0.481,1510456.15
2800,STK,3.29,431000,459105,28105,6.521,0.481,1510456.15
EZU,STK,48.04,30125,31442,1317,4.372,0.481,1510456.15
EWC,STK,37.61,38942,40161,1219,3.13,0.481,1510456.15
KSA,STK,42.37,34282,35649,1367,3.988,0.481,1510456.15
STIP,STK,105.62,143503,148613,5110,3.561,5,15696531.04
LTPZ,STK,87,104567,108252,3685,3.524,3,9417918.63
ZN,FUT,131078.13,69,72,3,4.348,3,9417918.63
ZB,FUT,158125,29,30,1,3.448,1.5,4708959.31
ZT,FUT,219804.68,69,71,2,2.899,5,15696531.04
Z3N,FUT,230250,66,68,2,3.03,5,15696531.04
3KTB,FUT,,0,,,,0,0
GBX,FUT,,0,,,,0,0
BTP,FUT,,0,,,,0,0
OAT,FUT,,0,,,,0,0
CYBA,STK,5.63,1612267,1672810,60543,3.755,3,9417918.63
IGLB,STK,68.27,132015,137951,5936,4.496,3,9417918.63
IAU,STK,33.54,90506,93599,3093,3.417,1,3139306.21
RB,FUT,,0,,,,0,0
AH,FUT,76762.5,22,22,0,0,0.545,1712348.7
HO,FUT,105516.6,15,16,1,6.667,0.545,1712348.7
HE,FUT,32040,50,53,3,6,0.545,1712348.7
ZL,FUT,36192,44,47,3,6.818,0.545,1712348.7
KC,FUT,76256.23,22,22,0,0,0.545,1712348.7
PB,FUT,56325,15,15,0,0,0.273,856174.51
CT,FUT,56035,30,31,1,3.333,0.545,1712348.7
ZO,FUT,33787.5,50,51,1,2,0.545,1712348.7
SB,FUT,22724.8,71,75,4,5.634,0.545,1712348.7
NG,FUT,52710,14,16,2,14.286,0.273,856174.51
NI,FUT,115980,14,15,1,7.143,0.545,1712348.7
GOIL,FUT,71925,22,24,2,9.091,0.545,1712348.7
,,,,,,,,
,,,,,,,3.896,221321086.53
