Symbol,Quantity,AvgPrice
1288,278000,5.77
1398,210000,6.43
2097,-6000,511.0
2359,3300,76.9
2800,121000,24.78
3988,200000,4.73
AVAV,1300,264.34
BABA,2500,113.88
BN4,13000,7.37
CME,100,272.61
EXC,-40265,42.4
HO,2101,249.78
IAUM,8000,33.15
MELI,20,2553.59
MSTR,950,386.41
NVO,2525,67.39
PANW,1300,202.6
PONY,11425,12.78
RHMd,380,1846.1
TLT,1500,87.36
VST,700,189.49
