"BOF","U8251256","Portfolio Dashboard","6","2025-11-07","2025-11-07","2025-11-10;00:13:35","100","100"
"BOA","U18135473"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U18135473","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"82619189.5534625","0","0","0","82851817.21330921"
"EOS","CNAV","1","82851817.21330921"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
39.88,39.88,0.0,63.0,2028-01-21,22.5,1.0,DFDVW,WAR,,DFDV,2.45
-6789.024,-6789.024,0.0,132000.0,,,1.0,1109,STK,COMMON,1109,27.84
2941.9104,2941.9104,0.0,2288000.0,,,1.0,1288,STK,COMMON,1288,6.09
5053.194,5053.194,0.0,1965000.0,,,1.0,1398,STK,COMMON,1398,6.33
-23155.9722,-23155.9722,0.0,78300.0,,,1.0,1698,STK,COMMON,1698,86.5
-6943.32,-6943.32,0.0,45000.0,,,1.0,1810,STK,COMMON,1810,42.24
-10206.6804,-10206.6804,0.0,37800.0,,,1.0,2359,STK,COMMON,2359,102.9
-2189.7174,-2189.7174,0.0,65500.0,,,1.0,2800,STK,ETF,2800,26.34
-5249.14992,-5249.14992,0.0,48600.0,,,1.0,2828,STK,ETF,2828,94.7
38033.964,38033.964,0.0,510000.0,,,1.0,2899,STK,COMMON,2899,32.64
-10387.59246,-10387.59246,0.0,384700.0,,,1.0,3067,STK,ETF,3067,12.31
5863.248,5863.248,0.0,11400.0,,,1.0,3750,STK,COMMON,3750,558.5
-38980.3128,-38980.3128,0.0,68900.0,,,1.0,388,STK,COMMON,388,428.6
2773.4706,2773.4706,0.0,2157000.0,,,1.0,3988,STK,COMMON,3988,4.58
-63518.52,-63518.52,0.0,49400.0,,,1.0,700,STK,COMMON,700,634.0
