Symbol,Quantity,AvgPrice
ABBV,151,154.81
ABC,120,155.7
ADM,166,87.94
BMY,326,77.8
CF,147,107.63
COILN2,-8,114.5
COILQ2,8,112.39
CTN2,1,1.49
CTVA,186,57.22
DLTR,151,157.67
ED,275,94.98
EXC,509,47.2
GNR,1451,60.66
HOM2,-4,3.89
HON2,5,3.76
HSY,71,226.09
IAU,2266,34.62
KE   JUL 22,-12,13.18
KO,269,65.32
KSA,4147,45.8
MCK,48,333.4
MO,302,54.09
NGM2,-11,8.05
NGN2,11,8.15
QQQ,4527,303.14
RBM2,-4,4.01
RBN2,5,3.85
SRE,115,162.26
ZB   JUN 22,1,138.78
ZC   JUL 22,1,8.03
ZL   JUL 22,1,0.84
ZT   JUN 22,1,105.57
