Symbol,Quantity,AvgPrice
ABBV,-316,153.01
ABC,-280,159.11
ADM,-412,85.65
BMY,-662,76.38
CF,-203,92.85
CTN2,-2,1.43
CTVA,-768,53.32
DLTR,-305,159.41
ED,-519,94.26
EXC,-967,47.17
GNR,-3280,57.39
HOM2,-1,3.93
HSY,-202,224.22
IAU,-4516,35.14
KE   JUL 22,-1,11.72
KO,-798,64.66
KSA,-6519,49.13
MCK,-123,330.43
MO,-662,51.28
QQQ,-12421,299.97
RBM2,-1,3.56
SBN2,-5,0.19
SRE,-268,160.79
STIP,-7628,102.94
VRTX,-96,240.01
XLE,-2496,77.07
ZB   JUN 22,-2,139.03
ZC   JUL 22,-3,7.73
ZL   JUL 22,-2,0.8
ZO   JUL 22,-3,6.07
ZT   JUN 22,-1,105.61
