BOF,U8251256,Portfolio Dashboard,6,12/8/2026,12/8/2026,2026-08-12;23:09:09,100,100,,,,
MSG,Realized P/L is not ready and has been disabled for this statement.,,,,,,,,,,,
BOA,U27314711,,,,,,,,,,,
BOS,ACCT,Account Information,,,,,,,,,,
ClientAccountID,CurrencyPrimary,,,,,,,,,,,
U27314711,USD,,,,,,,,,,,
EOS,ACCT,1,0,,,,,,,,,
BOS,CNAV,Change In NAV,,,,,,,,,,
StartingValue,Realized,ChangeInUnrealized,DepositsWithdrawals,EndingValue,,,,,,,,
0,0,0,2000000,1966663.605,,,,,,,,
EOS,CNAV,1,1966663.605,,,,,,,,,
BOS,MTMP,Mark-to-Market Performance Summary in Base,,,,,,,,,,
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice,
1244.66035,1244.66035,0,706,,,1,001040.KS,STK,COMMON,1040,138300,
-1562.70104,-1562.70104,0,6925,,,1,003690.KS,STK,COMMON,3690,14390,
-2641.994335,-2641.994335,0,127,,,1,004170.KS,STK,COMMON,4170,399000,
1920.93756,1920.93756,0,2724,,,1,006800.KS,STK,COMMON,6800,36500,
-1034.302173,-1034.302173,0,4889,,,1,11200,STK,COMMON,11200,21350,
-38.432855,-38.432855,0,545,,,1,017800.KS,STK,COMMON,17800,70900,
-308.450106,-308.450106,0,243,,,1,021240.KS,STK,COMMON,21240,95800,
-1565.5218,-1565.5218,0,1480,,,1,023530.KS,STK,COMMON,23530,97300,
-780.64533,-780.64533,0,123,,,1,036570.KS,STK,COMMON,36570,246500,
-197.4532,-197.4532,0,280,,,1,039490.KS,STK,COMMON,39490,299000,
-5676.7795,-5676.7795,0,2300,,,1,069960.KS,STK,COMMON,69960,97800,
101.124246,101.124246,0,478,,,1,180640.KS,STK,COMMON,180640,118200,
-713.608,-713.608,0,16000,,,1,2318,STK,COMMON,2318,55.55,
-470.02875,-470.02875,0,101000,,,1,2884,STK,COMMON,2884,36.75,
336.4152,336.4152,0,2200,,,1,388,STK,COMMON,388,406.6,
0,0,0,110,,,1,443060.KS,STK,COMMON,443060,200000,
310.4937,310.4937,0,9000,,,1,8001.T,STK,COMMON,8001,2096,
441.97242,441.97242,0,56600,,,1,9CI,STK,COMMON,9CI,2.73,
11.808125,11.808125,0,125,,,1,AVl,STK,COMMON,AV.,7.04,
21.592,21.592,0,40,,,1,BAl,STK,COMMON,BA.,22.7,
-1461.02,-1461.02,0,229,,,1,BRK B,STK,COMMON,BRK B,510,
-1780.3836,-1780.3836,0,2000,,,1,D05,STK,COMMON,D05,75.85,
1085.44,1085.44,0,3392,,,1,ENOR,STK,ETF,ENOR,35.59,
563.85,563.85,0,2685,,,1,EPOL,STK,ETF,EPOL,44.6,
-238.14,-238.14,0,3969,,,1,EWA,STK,ETF,EWA,29.89,
-1406.79,-1406.79,0,2233,,,1,EWD,STK,ETF,EWD,52.43,
-325.56,-325.56,0,2713,,,1,EWG,STK,ETF,EWG,43.87,
-449.82,-449.82,0,2499,,,1,EWQ,STK,ETF,EWQ,47.51,
-721.23,-721.23,0,1905,,,1,INCO,STK,ETF,INCO,62.22,
-3.67064,-3.67064,0,272,,,1,KGFl,STK,COMMON,KGF,3.222,
3.72462,3.72462,0,276,,,1,LGENl,STK,COMMON,LGEN,3.026,
-1371.75,-1371.75,0,4425,,,1,PFE,STK,COMMON,PFE,26.31,
-1.48445,-1.48445,0,11,,,1,SPXl,STK,COMMON,SPX,72.15,
0.15373869,0.15373869,0,-4387.780534,,,0,GBP,CASH,,,1.3495,
3.11623176,3.11623176,0,-2097903.176,,,0,HKD,CASH,,,0.12743,
-6.20060606,-6.20060606,0,-17574378.79,,,0,JPY,CASH,,,0.0062726,
-91.88080385,-91.88080385,0,-1060856998,,,0,KRW,CASH,,,0.00070519,
-5.0604014,-5.0604014,0,-298731.2702,,,0,SGD,CASH,,,0.78087,
33.541898,33.5421,-0.000202,-2.00E-09,,,0,TWD,CASH,,,0.031025,
0,0,0,802671.2456,,,0,USD,CASH,,,1,
-0.18,0,0,,,,,,,,,,
-16774.2575,0,0,,,,,,,,,,
EOS,MTMP,42,-33548.515,,,,,,,,,
BOS,CRTT,Cash Report; trade date basis,,,,,,,,,,
CurrencyPrimary,EndingCash,EndingCashSecurities,EndingCashCommodities,NetCashBalanceSLB,NetCashBalanceSLBSecurities,NetCashBalanceSLBCommodities,,,,,,
BASE_SUMMARY,-562198.9473,-562198.9473,0,-562198.9473,-562198.9473,0,,,,,,
GBP,-4387.780534,-4387.780534,0,-4387.780534,-4387.780534,0,,,,,,
HKD,-2097903.176,-2097903.176,0,-2097903.176,-2097903.176,0,,,,,,
JPY,-17574378.79,-17574378.79,0,-17574378.79,-17574378.79,0,,,,,,
KRW,-1060856998,-1060856998,0,-1060856998,-1060856998,0,,,,,,
