Symbol,SecType,Last_Price,Old position,New position,Change,Weights (%),Target allocation ($)
LB,STK,41.86,10194,9925,-269,0.385,415461.94
ALGN,STK,543.05,786,765,-21,0.385,415461.94
PWR,STK,72.88,5931,5701,-230,0.385,415461.94
DE,STK,292.21,1446,1422,-24,0.385,415461.94
ALB,STK,166.37,2548,2497,-51,0.385,415461.94
SIVB,STK,456.53,950,910,-40,0.385,415461.94
DFS,STK,82.5,4946,5036,90,0.385,415461.94
TT,STK,142.75,2916,2910,-6,0.385,415461.94
AES,STK,24.81,16553,16746,193,0.385,415461.94
HCA,STK,166.93,2572,2489,-83,0.385,415461.94
MHK,STK,145.85,2911,2849,-62,0.385,415461.94
GM,STK,52.3,8123,7944,-179,0.385,415461.94
TGT,STK,186,2285,2234,-51,0.385,415461.94
IVZ,STK,21.4,20299,19414,-885,0.385,415461.94
DISCA,STK,42.12,10045,9864,-181,0.385,415461.94
QQQ,STK,325.38,76018,73881,-2137,22.275,24039396.61
ARKK,STK,144.89,19221,18435,-786,2.475,2671044.2
2823,STK,2.75,992000,971289,-20711,2.475,2671044.2
IAU,STK,17.63,287540,306072,18532,5,5396050.28
IGIB,STK,61.29,90993,99048,8055,5.625,6070666.17
TN,FUT,153708.94,36,39,3,5.625,6070666.17
UB,FUT,204208.13,27,30,3,5.625,6070666.17
ZB,FUT,168500,33,36,3,5.625,6070666.17
ZF,FUT,125914.06,44,48,4,5.625,6070666.17
ZN,FUT,137018.55,41,44,3,5.625,6070666.17
ZT,FUT,220992.19,25,27,2,5.625,6070666.17
CGB,FUT,115384.27,48,53,5,5.625,6070666.17
BTS,FUT,136541.84,41,44,3,5.625,6070666.17
BTP,FUT,182549.24,30,33,3,5.625,6070666.17
GBX,FUT,266321.87,14,15,1,3.749,4045921.48
KE,FUT,31439.44,6,7,1,0.2,215841.95
HG,FUT,88020.66,2,2,0,0.2,215841.95
TSR20,FUT,7906.3,26,27,1,0.2,215841.95
ZS,FUT,68162.5,3,3,0,0.2,215841.95
PA,FUT,225008.06,1,1,0,0.2,215841.95
SCI,FUT,14806.38,13,15,2,0.2,215841.95
ZC,FUT,27475,7,8,1,0.2,215841.95
RB,FUT,67762.8,3,3,0,0.2,215841.95
AH,FUT,48786.19,4,4,0,0.2,215841.95
NI,FUT,106709.19,2,2,0,0.2,215841.95
