Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
LB,STK,50.78,11388,12313,925,8.123,0.385,625264.98
ALGN,STK,602.44,907,1038,131,14.443,0.385,625264.98
PWR,STK,76.58,7405,8165,760,10.263,0.385,625264.98
DE,STK,317.13,1819,1972,153,8.411,0.385,625264.98
ALB,STK,164.2,3578,3808,230,6.428,0.385,625264.98
SIVB,STK,504.16,1146,1240,94,8.202,0.385,625264.98
DFS,STK,94.34,6058,6628,570,9.409,0.385,625264.98
TT,STK,148.98,3766,4197,431,11.445,0.385,625264.98
AES,STK,27.68,20940,22589,1649,7.875,0.385,625264.98
HCA,STK,178.94,3181,3494,313,9.84,0.385,625264.98
MHK,STK,153.1,3688,4084,396,10.738,0.385,625264.98
GM,STK,57.24,10047,10924,877,8.729,0.385,625264.98
TGT,STK,193.95,2952,3224,272,9.214,0.385,625264.98
IVZ,STK,22.28,25612,28064,2452,9.574,0.385,625264.98
DISCA,STK,43.25,13080,14457,1377,10.528,0.385,625264.98
QQQ,STK,333.27,97844,108558,10714,10.95,22.275,36178994.33
ARKK,STK,153.9,24071,26120,2049,8.512,2.475,4019892.98
2823,STK,2.9,1273200,1386170,112970,8.873,2.475,4019892.98
IAU,STK,17.6,422989,461420,38431,9.086,5,8120986.72
IGIB,STK,61.26,134264,149139,14875,11.079,5.625,9136281.58
TN,FUT,153074,54,60,6,11.111,5.625,9136281.58
UB,FUT,201978.95,41,45,4,9.756,5.625,9136281.58
ZB,FUT,167431.31,49,55,6,12.245,5.625,9136281.58
ZF,FUT,125768.14,65,73,8,12.308,5.625,9136281.58
ZN,FUT,136753.32,60,67,7,11.667,5.625,9136281.58
ZT,FUT,220979.97,37,41,4,10.811,5.625,9136281.58
CGB,FUT,115280.56,72,79,7,9.722,5.625,9136281.58
BTS,FUT,137146.78,60,67,7,11.667,5.625,9136281.58
BTP,FUT,184947.04,45,49,4,8.889,5.625,9136281.58
GBX,FUT,263365.43,21,23,2,9.524,3.749,6089064.3
KE,FUT,32061.89,9,10,1,11.111,0.2,324839.47
HG,FUT,92279,3,4,1,33.333,0.2,324839.47
TSR20,FUT,8120,36,40,4,11.111,0.2,324839.47
ZS,FUT,70237.5,4,5,1,25,0.2,324839.47
PA,FUT,234176,1,1,0,0,0.2,324839.47
SCI,FUT,15897.53,19,20,1,5.263,0.2,324839.47
ZC,FUT,28487.55,11,11,0,0,0.2,324839.47
RB,FUT,70529,4,5,1,25,0.2,324839.47
AH,FUT,50922.33,6,6,0,0,0.2,324839.47
NI,FUT,110097.67,3,3,0,0,0.2,324839.47
,,,,,,,,
,,,,,,,5.35,162419016.51
