Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
LB,STK,51.35,5937,6116,179,3.015,0.385,314032.57
ALGN,STK,573.26,534,548,14,2.622,0.385,314032.57
PWR,STK,81.13,3877,3871,-6,-0.155,0.385,314032.57
DE,STK,345.66,892,909,17,1.906,0.385,314032.57
ALB,STK,161.39,1950,1946,-4,-0.205,0.385,314032.57
SIVB,STK,540.13,580,581,1,0.172,0.385,314032.57
DFS,STK,98.51,3182,3188,6,0.189,0.385,314032.57
TT,STK,155.35,1979,2021,42,2.122,0.385,314032.57
AES,STK,29.5,11140,10645,-495,-4.443,0.385,314032.57
HCA,STK,175.43,1732,1790,58,3.349,0.385,314032.57
MHK,STK,182.98,1704,1716,12,0.704,0.385,314032.57
GM,STK,52.9,5888,5936,48,0.815,0.385,314032.57
TGT,STK,187.08,1627,1679,52,3.196,0.385,314032.57
IVZ,STK,23.26,13430,13501,71,0.529,0.385,314032.57
DISCA,STK,52.13,5727,6024,297,5.186,0.385,314032.57
QQQ,STK,322.04,54395,56423,2028,3.728,22.275,18170517.6
ARKK,STK,136.55,13847,14785,938,6.774,2.475,2018947.84
2823,STK,2.78,711600,726240,14640,2.057,2.475,2018947.84
IAU,STK,17.09,228851,238659,9808,4.286,5,4078674.17
IGIB,STK,60.7,73057,75595,2538,3.474,5.625,4588599.68
TN,FUT,147796.87,30,31,1,3.333,5.625,4588599.68
UB,FUT,186500,23,25,2,8.696,5.625,4588599.68
ZB,FUT,158937.5,28,29,1,3.571,5.625,4588599.68
ZF,FUT,124661.74,35,37,2,5.714,5.625,4588599.68
ZN,FUT,133689.18,33,34,1,3.03,5.625,4588599.68
ZT,FUT,220880.65,20,21,1,5,5.625,4588599.68
CGB,FUT,112643.62,39,41,2,5.128,5.625,4588599.68
BTS,FUT,138152.03,32,33,1,3.125,5.625,4588599.68
BTP,FUT,183766.79,24,25,1,4.167,5.625,4588599.68
GBX,FUT,254343.17,12,12,0,0,3.749,3058167.3
KE,FUT,32976.8,5,5,0,0,0.2,163147.1
HG,FUT,108102,2,2,0,0,0.2,163147.1
TSR20,FUT,9326.67,18,17,-1,-5.556,0.2,163147.1
ZS,FUT,72187.5,2,2,0,0,0.2,163147.1
PA,FUT,243451,1,1,0,0,0.2,163147.1
SCI,FUT,17130.33,9,10,1,11.111,0.2,163147.1
ZC,FUT,27787.5,6,6,0,0,0.2,163147.1
RB,FUT,82929,2,2,0,0,0.2,163147.1
AH,FUT,55193.67,3,3,0,0,0.2,163147.1
NI,FUT,117640,1,1,0,0,0.2,163147.1
,,,,,,,,
,,,,,,,3.085,81573211.1
