Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
MCK,STK,354.47,474,491,17,3.586,0.333,173884.35
SRE,STK,143.03,1116,1216,100,8.961,0.333,173884.35
NOC,STK,500.58,329,347,18,5.471,0.333,173884.35
MRK,STK,92.49,1820,1880,60,3.297,0.333,173884.35
K,STK,73.1,2324,2324,0,2.367,0.333,173882.63
WM,STK,157.38,1059,1105,46,4.344,0.333,173882.63
GIS,STK,78.82,2155,2155,0,2.367,0.333,173882.63
WEC,STK,84.72,1931,2052,121,6.266,0.333,173882.63
CTVA,STK,62.95,2698,2698,0,2.372,0.333,173882.63
LLY,STK,332.36,515,515,0,1.553,0.333,173882.63
HSY,STK,227.8,737,763,26,3.528,0.333,173882.63
BMY,STK,70.77,2335,2457,122,5.225,0.333,173882.63
MOH,STK,357.22,470,487,17,3.617,0.333,173882.63
ADM,STK,89.37,1919,1919,0,1.407,0.333,173882.63
AMGN,STK,250.56,665,694,29,4.361,0.333,173882.63
QQQ,STK,269.7,44894,46421,1527,3.401,24,12519674.31
XLE,STK,83.1,15702,15702,0,-0.051,2.5,1304132.74
IXC,STK,37.42,33942,33942,0,2.678,2.5,1304132.74
ZT,FUT,204617,2,3,1,50,1,521653.1
CGZ,FUT,74777.29,7,7,0,0,1,521653.1
GBS,FUT,104280,5,5,0,0,1,521653.1
BTS,FUT,102848.2,5,5,0,0,1,521653.1
IAU,STK,31.47,15650,16576,926,5.917,1,521653.1
ZM,FUT,41190,11,12,1,9.091,0.952,496812.5
ZS,FUT,69987.57,7,7,0,0,0.952,496812.5
GOIL,FUT,109075,4,5,1,25,0.952,496812.5
ZC,FUT,34725,13,14,1,7.692,0.952,496812.5
COIL,FUT,93570,5,5,0,0,0.952,496812.5
RB,FUT,111317.5,4,4,0,0,0.952,496812.5
HO,FUT,168424.33,3,3,0,0,0.952,496812.5
ZSLME,FUT,74606.33,-3,-3,0,0,-0.476,248406.25
GF,FUT,88025,-3,-3,0,0,-0.476,248406.25
CT,FUT,41730,-6,-6,0,0,-0.476,248406.25
HE,FUT,32220,-7,-8,-1,14.286,-0.476,248406.25
HG,FUT,86262.33,-3,-3,0,0,-0.476,248406.25
SCI,FUT,9370,-25,-27,-2,8,-0.476,248406.25
LE,FUT,59230,-4,-4,0,0,-0.476,248406.25
,,,,,,,,
,,,,,,,0.801,25560982.87
