Symbol,Quantity,AvgPrice
AAPL,-942,209.76
AMD,-15790,159.66
APP,-77,366.09
AVAV,-4238,272.99
AVEM,-12509,69.82
BABA,-15294,116.71
BWXT,-7382,141.44
CEG,-5605,306.48
CME,-6271,278.89
COIN,-682,415.46
CRWD,-2460,467.53
CSCO,-24779,68.14
CTAS,-7519,213.82
CVX,-11757,149.45
DAX,-13688,44.87
DDOG,-157,141.05
DFDV,-2412,31.09
DG,-9323,111.4
EBND,-245061,21.09
EFA,-19140,88.32
EMR,-17909,142.94
ETN,-2425,377.07
EWW,-33324,59.69
EWZ,-84081,27.43
GE,-3281,265.35
GEV,-3058,577.99
GS,-2460,714.0
HD,-4648,356.66
HO,-3540,246.88
IAUM,-172162,33.19
IBIT,-33563,67.35
IBM,-5946,283.19
ICE,-6107,181.09
JPIB,-23322,48.3
JPM,-5946,289.6
MCD,-8517,301.49
MELI,-666,2376.59
NDAQ,-19698,89.48
NOC,-2065,524.48
NOW,-50,966.22
NTDU,200000,0.98
NVDA,-15192,172.83
NVO,-10270,65.9
PANW,-6442,193.85
PLTR,-10560,152.96
PM,-7277,180.98
PONY,-40348,13.4
QQQ,-50,559.08
RHMd,-523,1842.84
RTX,-12074,151.71
SGOV,660,100.55
SHOP,-15448,121.95
SHYG,-64267,42.86
SPLV,-563,72.56
SPMO,-88,113.47
SPXL,-3827,179.26
STZ,-692,169.08
TLT,-160644,85.38
TQQQ,-240610,85.84
TSM,-10663,244.26
USMV,-50,92.82
VRT,-18175,131.63
VST,-4784,183.51
VTIP,-102,50.02
VZ,-39648,41.15
