Symbol,Quantity,AvgPrice
ABC,-160,161.92
ADM,-343,95.65
BMY,-344,76.52
BRK B,-101,353.04
CB,-254,216.72
CF,-249,108.89
CNYB,-50637,5.65
COILM2,-1,105.18
CYBA,-73629,5.85
DLTR,-297,167.59
ED,-295,97.22
EWU,-3955,33.86
EXC,-496,48.38
GOILK2,-1,1036.75
HOK2,-1,3.46
IAU,-5028,37.46
KE   JUL 22,-2,11.69
KSA,-2755,50.32
MCK,-83,322.06
MOS,-278,74.31
NEM,-266,82.86
NGK2,-2,6.77
PICK,-2632,51.41
PSA,-83,404.86
SBN2,-3,0.2
SRE,-266,169.14
STIP,-7675,104.21
TIP,-1839,121.85
VRTX,-142,281.82
XLE,-1271,79.39
ZB   JUN 22,-1,142.94
ZC   JUL 22,-2,7.72
ZL   JUL 22,-2,0.74
ZN   JUN 22,-2,120.41
ZT   JUN 22,-1,105.76
ZW   JUL 22,-2,11.12
