Symbol,Quantity,AvgPrice
2823,-62300,16.36
ABBV,-417,171.48
ABC,-324,159.12
ADM,-546,92.75
BRK B,-127,343.66
CB,-188,210.96
CF,-172,104.56
CNYB,-51777,5.67
CYBA,-72690,5.86
DLTR,-265,157.69
ED,-556,97.87
EWU,-3869,33.84
EXC,-1408,49.74
GD,-177,240.9
IAU,-3609,36.75
KE   MAY 22,-2,10.81
KSA,-3062,48.56
MCK,-164,312.87
MOS,-421,70.43
NEM,-488,80.63
PICK,-1862,50.49
PSA,-157,406.57
QQQ,-8387,351.89
SBK2,-3,0.2
SRE,-313,167.35
STIP,-6379,103.74
TIP,-1508,121.41
VRTX,-171,273.61
XLE,-1570,76.02
ZB   JUN 22,-1,144.19
ZC   MAY 22,-2,7.53
ZN   JUN 22,-2,120.56
ZT   JUN 22,-1,105.62
ZW   MAY 22,-2,10.33
