Symbol,Quantity,AvgPrice
ADM,-797,89.99
AEP,-565,102.11
BMY,-705,67.21
CF,4037,114.94
CNC,-5974,91.19
CTVA,-1086,62.01
CTZ2,12,1.17
DTE,3586,133.41
ED,-647,98.7
FMB,-26722,50.69
FPE,-3193,17.74
GFV2,-2,1.81
HEV2,-5,0.91
HSY,-240,227.07
HUM,-1097,484.6
HYG,-577,75.58
IAU,-5033,33.04
IGIB,-1150,51.24
IGLB,-25422,53.28
K,-673,74.02
KCZ2,8,2.37
LEV2,-3,1.43
LMT,-1251,429.93
LTPZ,19021,67.81
MCK,-157,357.97
MRK,-670,88.02
NGV2,8,9.35
NOC,-126,482.12
PAZ2,-1,2117.5
QQQ,-41210,305.01
SHYD,-2350,22.67
SO,-782,78.41
SRE,-358,167.17
TIP,11273,115.14
WM,2792,171.66
XLE,-5320,84.6
XLU,-5727,75.77
ZL   DEC 22,-23,0.66
ZM   DEC 22,-5,428.58
