Symbol,Quantity,AvgPrice
ADM,208,85.4
AEP,4845,104.01
AMGN,-1867,249.65
BMY,358,74.5
CGBU22,-14,129.91
CNC,5213,97.52
CTVA,307,61.42
DLTR,-2792,166.37
ED,330,99.47
FMB,-27813,51.71
FPE,-79462,18.29
GFU2,-8,1.85
GFV2,8,1.88
HSY,154,229.87
HUM,46,498.73
HYG,-18674,78.81
IAU,3311,33.78
IGIB,59026,52.76
IGLB,-26949,55.86
K,463,76.06
KCU2,-9,2.24
KCZ2,9,2.2
LMT,72,437.13
MCK,72,367.26
MRK,274,90.35
NGU2,-9,8.69
NGV2,9,8.68
NOC,56,483.51
PLV2,16,928.46
QQQ,7823,331.05
SHYD,-62322,22.97
SO,443,78.25
SRE,150,166.45
UB   SEP 22,-30,155.07
XLE,5252,76.26
XLU,2670,76.87
ZB   SEP 22,-10,141.76
ZM   DEC 22,-1,400.7
ZS   NOV 22,-11,13.99
