Symbol,Quantity,AvgPrice
2823,-31700,15.77
ABBV,296,161.94
ABC,327,154.17
ADM,845,86.96
BRK B,129,357.01
CB,243,216.43
CCK2,-1,2638.0
CF,440,96.78
CLK2,1,102.97
CNYB,60620,5.64
COILM2,1,106.58
CTK2,1,1.38
CVS,628,105.26
CYBA,90154,5.83
DLTR,278,157.44
ED,514,93.19
EWU,5250,33.71
EXC,1407,46.39
EXXX,-5000,36.09
GD,255,235.8
GFK2,-1,1.68
GOILK2,1,1010.75
HOK2,1,3.38
IAU,5247,36.34
KCK2,-1,2.16
KSA,3384,48.28
LEM2,-1,1.38
LTPZ,1397,82.26
MCK,180,305.88
MOS,703,62.84
MTB,372,181.14
NEM,789,77.21
PICK,3704,50.35
PLN2,-1,973.3
PSA,95,388.96
QQQ,8768,368.17
RBK2,1,3.15
STIP,8444,105.17
TIP,-27689,124.55
XLE,2051,75.27
ZB   JUN 22,2,148.86
ZN   JUN 22,2,122.17
ZO   MAY 22,2,7.23
ZT   JUN 22,1,105.75
