Symbol,Quantity,AvgPrice
ABBV,162,163.94
ABC,227,156.0
ADM,288,90.25
BRK B,87,358.26
CB,135,217.28
CCK2,-1,2649.0
CF,187,104.72
CLK2,2,103.72
CNYB,38975,5.67
COILM2,1,107.56
CTK2,1,1.37
CVS,432,102.27
CYBA,59267,5.86
DLTR,167,160.97
EWU,3102,33.83
EXC,1121,47.76
EXXX,-7580,35.36
GOILK2,1,1014.5
HOK2,1,3.39
IAU,2906,36.91
KSA,3335,47.72
LTPZ,824,83.44
MCK,117,307.32
MOS,305,67.11
MTB,466,172.22
NEM,652,80.56
PLN2,-1,987.9
PSA,120,398.74
QQQ,9261,365.99
STIP,5499,105.26
TIP,1136,125.18
XLE,1943,77.79
ZB   JUN 22,1,149.94
ZO   MAY 22,2,7.24
ZT   JUN 22,1,105.94
