Symbol,Quantity,AvgPrice
2800,-260500,21.19
2823,-337300,16.36
ABBV,-404,148.14
ADM,-756,85.34
CB,-108,199.22
CCK2,3,2656.0
CNYB,-60700,5.66
COILK2,-1,132.22
CTK2,1,1.17
CVS,-434,104.08
CYBA,-86113,5.85
ED,-489,89.54
EWU,-2970,31.11
EXC,-805,43.44
EXXX,-1744,32.15
GD,-192,243.52
GFJ2,1,1.61
GOILJ2,-2,1336.38
HOJ2,-2,4.39
HSY,-205,207.59
IAU,-12650,38.99
KCK2,1,2.31
KE   MAY 22,-1,11.56
KSA,-2852,47.51
LEJ2,2,1.39
LTPZ,-1510,87.21
MAA,-238,209.85
MCK,-145,273.77
MOS,-209,60.46
PG,-310,148.34
PICK,-1701,47.56
PSA,-134,372.62
RBJ2,-1,3.78
STIP,-6900,106.59
TIP,-3554,128.58
XLE,-3168,79.08
ZB   JUN 22,-1,157.28
ZN   JUN 22,-1,127.36
ZO   MAY 22,1,6.48
ZT   JUN 22,-2,107.32
