Symbol,Quantity,AvgPrice
2823,-36100,16.1
ABBV,-302,157.29
ABC,-329,151.51
ADM,-288,83.05
CB,-223,209.52
CCK2,12,2497.67
CNYB,-41421,5.64
COILK2,-2,106.3
CTK2,5,1.22
CVS,-335,107.07
CYBA,-61729,5.84
ED,-361,89.87
EWU,-6369,32.77
EXC,-676,43.54
EXXX,-2661,35.12
FITB,-1220,46.16
GFK2,4,1.66
GOILJ2,-2,1041.88
HSY,-139,206.66
IAU,-60258,36.99
KCK2,4,2.16
KSA,-3634,46.96
LEM2,6,1.36
LTPZ,-1162,83.47
MAA,-186,209.01
MCK,-156,292.72
MOS,-254,60.02
MTB,-293,176.52
PICK,-3379,47.75
PSA,-84,363.06
QQQ,-13208,339.66
RBJ2,-1,3.16
SBNY,-149,314.28
STIP,-4347,105.91
TIP,-1691,126.07
XLE,-2000,73.2
ZB   JUN 22,-1,152.5
ZC   MAY 22,-4,7.52
ZN   JUN 22,-2,124.51
ZO   MAY 22,5,6.75
ZT   JUN 22,-1,106.6
