Symbol,Quantity,AvgPrice
AZO,-18,2331.22
CAH,-588,75.71
CB,1559,222.04
CEG,-640,83.08
CI,-130,310.64
COILJ3,6,88.58
DCG3,8,18.27
FMB,-26824,51.39
FPE,-78225,17.91
GILD,-461,83.65
GIS,-554,77.67
GOILG3,-1,1009.75
HEJ3,2,0.86
HOG3,-1,3.55
HYD,-26113,52.68
HYG,-18391,76.22
IAU,-3467,36.42
IGIB,-26547,51.34
IXC,-8619,40.63
KCH3,1,1.58
KHC,-9652,40.2
LLY,-133,343.38
LTPZ,-20913,61.43
LVS,-826,55.31
MCD,-187,269.8
MCK,-111,377.64
MRK,-378,109.94
NGH3,2,3.06
ORLY,433,791.15
QQQ,8502,287.89
RBG3,-2,2.69
REGN,-60,724.87
SBH3,-25,0.2
TN   MAR 23,-11,121.35
TRV,-246,186.33
UB   MAR 23,-10,141.37
WMT,-2784,142.12
XLE,-3996,91.17
ZB   MAR 23,-10,130.09
ZC   MAR 23,-3,6.64
ZL   MAR 23,-7,0.62
ZM   MAR 23,-2,455.85
ZS   MAR 23,-1,14.84
