Symbol,Quantity,AvgPrice
ALIH3,-3,2319.5
AZO,19,2464.42
CAH,574,78.08
CEG,522,84.44
CI,153,302.17
COILH3,1,79.62
DCG3,-3,18.39
DG,159,248.56
EWH,14561,21.97
FMB,8522,50.55
FPE,24212,17.3
GILD,446,87.23
GIS,491,85.93
GOILG3,1,855.5
HOG3,1,3.01
HSY,204,224.78
HUM,92,491.92
HYD,8052,51.52
HYG,5763,75.21
IAU,3594,35.28
IGIB,8736,50.41
LLY,135,361.38
LTPZ,6730,60.5
MCD,173,266.45
MCK,113,383.84
MRK,313,114.89
NGG3,-6,3.73
NOC,77,536.72
PAH3,-1,1793.0
QQQ,12203,265.06
TRV,210,192.46
UB   MAR 23,3,138.72
XLE,3008,88.07
ZB   MAR 23,3,128.44
ZC   MAR 23,2,6.55
ZL   MAR 23,-4,0.63
ZM   MAR 23,1,472.6
ZS   MAR 23,1,14.88
